Tarih,TP_BISTOPKREDI_QPL3
2000-01-01,30.5
2000-04-01,32.3
2000-07-01,32.0
2000-10-01,32.3
2001-01-01,32.5
2001-04-01,32.5
2001-07-01,33.6
2001-10-01,33.2
2002-01-01,33.6
2002-04-01,34.8
2002-07-01,35.8
2002-10-01,35.9
2003-01-01,36.3
2003-04-01,35.6
2003-07-01,35.5
2003-10-01,34.7
2004-01-01,35.1
2004-04-01,33.7
2004-07-01,32.6
2004-10-01,29.4
2005-01-01,28.5
2005-04-01,28.6
2005-07-01,28.1
2005-10-01,28.2
2006-01-01,28.6
2006-04-01,29.4
2006-07-01,30.8
2006-10-01,31.5
2007-01-01,31.7
2007-04-01,32.4
2007-07-01,33.6
2007-10-01,34.2
2008-01-01,35.0
2008-04-01,35.4
2008-07-01,36.6
2008-10-01,39.7
2009-01-01,42.2
2009-04-01,40.9
2009-07-01,40.0
2009-10-01,38.0
2010-01-01,38.2
2010-04-01,38.8
2010-07-01,38.4
2010-10-01,38.5
2011-01-01,38.3
2011-04-01,38.5
2011-07-01,40.6
2011-10-01,41.5
2012-01-01,41.4
2012-04-01,41.7
2012-07-01,41.7
2012-10-01,42.6
2013-01-01,43.0
2013-04-01,44.0
2013-07-01,44.4
2013-10-01,44.0
2014-01-01,44.2
2014-04-01,45.2
2014-07-01,45.4
2014-10-01,46.3
2015-01-01,46.5
2015-04-01,46.9
2015-07-01,47.6
2015-10-01,47.4
2016-01-01,47.6
2016-04-01,48.1
2016-07-01,47.6
2016-10-01,49.5
2017-01-01,48.6
2017-04-01,47.7
2017-07-01,47.2
2017-10-01,46.4
2018-01-01,46.9
2018-04-01,46.6
2018-07-01,46.3
2018-10-01,45.4
2019-01-01,44.9
2019-04-01,44.0
2019-07-01,44.2
2019-10-01,43.1
2020-01-01,44.9
2020-04-01,44.9
2020-07-01,44.2
2020-10-01,44.4
2021-01-01,44.2
2021-04-01,42.8
2021-07-01,42.8
2021-10-01,42.0
2022-01-01,41.4
2022-04-01,40.8
2022-07-01,41.4
2022-10-01,39.1
2023-01-01,38.4
2023-04-01,37.2
2023-07-01,37.2
2023-10-01,35.9
2024-01-01,35.9
2024-04-01,35.8
2024-07-01,35.2
2024-10-01,35.5
2025-01-01,34.7
