Tarih,TP_BISTOPKREDI_QIN1
2000-01-01,86.1
2000-04-01,84.8
2000-07-01,81.2
2000-10-01,78.0
2001-01-01,77.8
2001-04-01,78.2
2001-07-01,80.4
2001-10-01,82.6
2002-01-01,85.9
2002-04-01,86.0
2002-07-01,86.5
2002-10-01,85.6
2003-01-01,86.2
2003-04-01,87.4
2003-07-01,89.2
2003-10-01,91.0
2004-01-01,91.7
2004-04-01,90.9
2004-07-01,90.3
2004-10-01,89.3
2005-01-01,89.5
2005-04-01,90.7
2005-07-01,91.4
2005-10-01,88.0
2006-01-01,87.2
2006-04-01,81.4
2006-07-01,80.0
2006-10-01,80.4
2007-01-01,79.7
2007-04-01,77.0
2007-07-01,75.0
2007-10-01,73.2
2008-01-01,71.2
2008-04-01,71.1
2008-07-01,71.3
2008-10-01,73.8
2009-01-01,76.9
2009-04-01,76.0
2009-07-01,76.9
2009-10-01,76.6
2010-01-01,75.9
2010-04-01,75.3
2010-07-01,74.6
2010-10-01,73.3
2011-01-01,71.3
2011-04-01,69.7
2011-07-01,70.7
2011-10-01,71.1
2012-01-01,70.6
2012-04-01,70.7
2012-07-01,71.2
2012-10-01,72.3
2013-01-01,72.0
2013-04-01,71.8
2013-07-01,71.2
2013-10-01,70.8
2014-01-01,70.8
2014-04-01,71.5
2014-07-01,71.8
2014-10-01,71.2
2015-01-01,72.0
2015-04-01,69.0
2015-07-01,69.2
2015-10-01,69.9
2016-01-01,70.4
2016-04-01,70.8
2016-07-01,69.1
2016-10-01,67.5
2017-01-01,66.9
2017-04-01,66.7
2017-07-01,67.0
2017-10-01,66.0
2018-01-01,66.4
2018-04-01,65.3
2018-07-01,65.5
2018-10-01,64.5
2019-01-01,65.1
2019-04-01,65.5
2019-07-01,67.1
2019-10-01,66.8
2020-01-01,66.5
2020-04-01,73.5
2020-07-01,76.7
2020-10-01,79.0
2021-01-01,81.1
2021-04-01,79.7
2021-07-01,77.9
2021-10-01,75.2
2022-01-01,70.7
2022-04-01,67.8
2022-07-01,62.9
2022-10-01,61.1
2023-01-01,60.6
2023-04-01,60.9
2023-07-01,59.2
2023-10-01,61.5
2024-01-01,64.8
2024-04-01,66.3
2024-07-01,68.7
2024-10-01,69.2
2025-01-01,72.3
