Tarih,TP_BISTOPKREDI_QAT3
2000-01-01,64.6
2000-04-01,65.2
2000-07-01,66.3
2000-10-01,68.7
2001-01-01,70.7
2001-04-01,68.2
2001-07-01,67.9
2001-10-01,65.4
2002-01-01,63.4
2002-04-01,63.9
2002-07-01,64.4
2002-10-01,63.7
2003-01-01,62.6
2003-04-01,62.2
2003-07-01,61.2
2003-10-01,62.0
2004-01-01,60.8
2004-04-01,61.1
2004-07-01,60.9
2004-10-01,61.9
2005-01-01,62.2
2005-04-01,64.3
2005-07-01,65.8
2005-10-01,67.8
2006-01-01,68.4
2006-04-01,69.6
2006-07-01,71.2
2006-10-01,72.4
2007-01-01,73.4
2007-04-01,73.4
2007-07-01,77.4
2007-10-01,78.3
2008-01-01,79.2
2008-04-01,78.6
2008-07-01,79.5
2008-10-01,80.8
2009-01-01,79.0
2009-04-01,76.0
2009-07-01,74.7
2009-10-01,74.2
2010-01-01,73.0
2010-04-01,71.5
2010-07-01,69.8
2010-10-01,66.8
2011-01-01,65.9
2011-04-01,63.9
2011-07-01,65.1
2011-10-01,64.3
2012-01-01,64.6
2012-04-01,64.9
2012-07-01,65.2
2012-10-01,65.6
2013-01-01,65.8
2013-04-01,67.6
2013-07-01,67.8
2013-10-01,69.2
2014-01-01,68.1
2014-04-01,68.6
2014-07-01,70.0
2014-10-01,70.9
2015-01-01,73.6
2015-04-01,73.9
2015-07-01,75.9
2015-10-01,76.2
2016-01-01,76.7
2016-04-01,76.5
2016-07-01,75.8
2016-10-01,75.1
2017-01-01,72.7
2017-04-01,72.3
2017-07-01,71.4
2017-10-01,71.1
2018-01-01,71.5
2018-04-01,70.9
2018-07-01,71.9
2018-10-01,71.6
2019-01-01,71.5
2019-04-01,71.6
2019-07-01,71.7
2019-10-01,70.6
2020-01-01,73.7
2020-04-01,72.1
2020-07-01,71.4
2020-10-01,69.4
2021-01-01,69.0
2021-04-01,66.8
2021-07-01,65.5
2021-10-01,63.7
2022-01-01,62.2
2022-04-01,62.4
2022-07-01,62.1
2022-10-01,60.1
2023-01-01,59.5
2023-04-01,59.2
2023-07-01,59.4
2023-10-01,59.3
2024-01-01,59.9
2024-04-01,59.4
2024-07-01,59.8
2024-10-01,61.3
2025-01-01,61.5
