Tarih,TP_BISTOPKREDI_Q5R1
2000-01-01,70.7
2000-04-01,69.3
2000-07-01,66.6
2000-10-01,68.1
2001-01-01,66.6
2001-04-01,66.0
2001-07-01,69.2
2001-10-01,66.7
2002-01-01,66.8
2002-04-01,73.4
2002-07-01,73.1
2002-10-01,74.4
2003-01-01,74.8
2003-04-01,75.4
2003-07-01,75.9
2003-10-01,77.1
2004-01-01,79.7
2004-04-01,76.8
2004-07-01,76.2
2004-10-01,79.7
2005-01-01,77.2
2005-04-01,74.7
2005-07-01,72.8
2005-10-01,71.8
2006-01-01,72.3
2006-04-01,72.9
2006-07-01,72.4
2006-10-01,71.7
2007-01-01,71.2
2007-04-01,69.1
2007-07-01,71.1
2007-10-01,71.6
2008-01-01,75.3
2008-04-01,71.4
2008-07-01,69.5
2008-10-01,76.4
2009-01-01,78.0
2009-04-01,85.1
2009-07-01,91.8
2009-10-01,90.7
2010-01-01,89.6
2010-04-01,90.8
2010-07-01,97.7
2010-10-01,98.2
2011-01-01,99.1
2011-04-01,100.0
2011-07-01,100.3
2011-10-01,100.1
2012-01-01,101.1
2012-04-01,102.8
2012-07-01,107.0
2012-10-01,106.4
2013-01-01,104.6
2013-04-01,102.7
2013-07-01,104.6
2013-10-01,104.0
2014-01-01,105.9
2014-04-01,106.7
2014-07-01,102.0
2014-10-01,101.9
2015-01-01,101.0
2015-04-01,102.3
2015-07-01,105.0
2015-10-01,105.9
2016-01-01,112.1
2016-04-01,114.5
2016-07-01,113.9
2016-10-01,105.7
2017-01-01,106.8
2017-04-01,109.0
2017-07-01,109.4
2017-10-01,108.9
2018-01-01,109.2
2018-04-01,103.9
2018-07-01,102.2
2018-10-01,103.9
2019-01-01,105.9
2019-04-01,108.1
2019-07-01,108.8
2019-10-01,108.9
2020-01-01,111.7
2020-04-01,125.9
2020-07-01,130.7
2020-10-01,134.7
2021-01-01,127.2
2021-04-01,123.4
2021-07-01,119.6
2021-10-01,117.8
2022-01-01,112.0
2022-04-01,102.8
2022-07-01,96.7
2022-10-01,101.0
2023-01-01,103.4
2023-04-01,100.8
2023-07-01,97.3
2023-10-01,102.8
2024-01-01,100.5
2024-04-01,98.5
2024-07-01,104.4
2024-10-01,99.0
2025-01-01,101.6
