Tarih,TP_BISTOPKREDI_QGR3
2000-01-01,37.0
2000-04-01,38.9
2000-07-01,40.5
2000-10-01,41.6
2001-01-01,42.9
2001-04-01,43.8
2001-07-01,44.0
2001-10-01,44.8
2002-01-01,44.4
2002-04-01,45.0
2002-07-01,44.3
2002-10-01,44.6
2003-01-01,44.3
2003-04-01,43.9
2003-07-01,44.9
2003-10-01,45.3
2004-01-01,44.6
2004-04-01,45.6
2004-07-01,45.2
2004-10-01,45.5
2005-01-01,46.7
2005-04-01,47.9
2005-07-01,48.1
2005-10-01,50.4
2006-01-01,49.1
2006-04-01,50.0
2006-07-01,50.9
2006-10-01,52.1
2007-01-01,51.2
2007-04-01,52.3
2007-07-01,53.3
2007-10-01,55.5
2008-01-01,58.0
2008-04-01,60.2
2008-07-01,62.2
2008-10-01,63.3
2009-01-01,63.6
2009-04-01,63.1
2009-07-01,64.2
2009-10-01,64.6
2010-01-01,64.9
2010-04-01,65.6
2010-07-01,64.6
2010-10-01,67.6
2011-01-01,68.6
2011-04-01,70.1
2011-07-01,71.6
2011-10-01,67.6
2012-01-01,67.5
2012-04-01,69.4
2012-07-01,69.9
2012-10-01,70.0
2013-01-01,69.9
2013-04-01,69.7
2013-07-01,69.2
2013-10-01,68.0
2014-01-01,67.6
2014-04-01,68.7
2014-07-01,69.0
2014-10-01,68.6
2015-01-01,68.5
2015-04-01,67.7
2015-07-01,67.0
2015-10-01,67.0
2016-01-01,67.2
2016-04-01,66.7
2016-07-01,65.6
2016-10-01,66.2
2017-01-01,65.8
2017-04-01,64.7
2017-07-01,63.1
2017-10-01,62.6
2018-01-01,61.5
2018-04-01,61.1
2018-07-01,60.4
2018-10-01,60.6
2019-01-01,56.9
2019-04-01,55.8
2019-07-01,54.7
2019-10-01,54.7
2020-01-01,55.9
2020-04-01,58.4
2020-07-01,62.9
2020-10-01,65.2
2021-01-01,68.4
2021-04-01,70.3
2021-07-01,67.8
2021-10-01,66.1
2022-01-01,63.3
2022-04-01,62.3
2022-07-01,60.3
2022-10-01,55.1
2023-01-01,53.5
2023-04-01,52.9
2023-07-01,52.4
2023-10-01,52.9
2024-01-01,52.1
2024-04-01,52.4
2024-07-01,52.0
2024-10-01,55.9
2025-01-01,56.9
