Tarih,TP_BISTOPKREDI_QDE1
2000-01-01,61.9
2000-04-01,61.1
2000-07-01,61.0
2000-10-01,60.7
2001-01-01,59.8
2001-04-01,58.8
2001-07-01,59.5
2001-10-01,59.4
2002-01-01,59.7
2002-04-01,60.1
2002-07-01,61.7
2002-10-01,62.1
2003-01-01,63.6
2003-04-01,64.8
2003-07-01,65.1
2003-10-01,65.3
2004-01-01,67.7
2004-04-01,66.5
2004-07-01,67.7
2004-10-01,67.9
2005-01-01,69.0
2005-04-01,70.5
2005-07-01,70.9
2005-10-01,70.3
2006-01-01,69.4
2006-04-01,68.4
2006-07-01,69.2
2006-10-01,67.6
2007-01-01,66.1
2007-04-01,65.4
2007-07-01,64.2
2007-10-01,63.9
2008-01-01,64.7
2008-04-01,64.3
2008-07-01,65.1
2008-10-01,68.5
2009-01-01,70.3
2009-04-01,73.2
2009-07-01,74.7
2009-10-01,75.2
2010-01-01,75.9
2010-04-01,77.9
2010-07-01,77.7
2010-10-01,84.4
2011-01-01,82.0
2011-04-01,81.9
2011-07-01,83.7
2011-10-01,83.4
2012-01-01,84.1
2012-04-01,85.6
2012-07-01,85.5
2012-10-01,85.5
2013-01-01,84.8
2013-04-01,83.1
2013-07-01,81.6
2013-10-01,80.9
2014-01-01,80.5
2014-04-01,80.6
2014-07-01,80.5
2014-10-01,80.7
2015-01-01,81.6
2015-04-01,77.8
2015-07-01,77.6
2015-10-01,76.7
2016-01-01,77.6
2016-04-01,78.0
2016-07-01,76.3
2016-10-01,74.2
2017-01-01,72.7
2017-04-01,71.4
2017-07-01,70.3
2017-10-01,68.7
2018-01-01,67.3
2018-04-01,65.8
2018-07-01,65.5
2018-10-01,65.6
2019-01-01,66.4
2019-04-01,66.1
2019-07-01,66.9
2019-10-01,64.3
2020-01-01,66.8
2020-04-01,74.9
2020-07-01,77.8
2020-10-01,77.4
2021-01-01,76.6
2021-04-01,75.5
2021-07-01,75.0
2021-10-01,74.8
2022-01-01,70.0
2022-04-01,65.7
2022-07-01,62.8
2022-10-01,60.2
2023-01-01,60.4
2023-04-01,58.8
2023-07-01,57.8
2023-10-01,59.5
2024-01-01,58.4
2024-04-01,57.5
2024-07-01,59.2
2024-10-01,58.9
2025-01-01,57.8
