Tarih,TP_BISTOPKREDI_QMY2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,54.3
2006-04-01,53.9
2006-07-01,54.0
2006-10-01,54.1
2007-01-01,53.9
2007-04-01,53.7
2007-07-01,53.5
2007-10-01,52.3
2008-01-01,50.8
2008-04-01,49.5
2008-07-01,48.7
2008-10-01,49.5
2009-01-01,51.5
2009-04-01,54.5
2009-07-01,57.7
2009-10-01,58.8
2010-01-01,58.6
2010-04-01,58.6
2010-07-01,59.0
2010-10-01,59.6
2011-01-01,59.8
2011-04-01,59.9
2011-07-01,59.9
2011-10-01,60.6
2012-01-01,61.2
2012-04-01,61.9
2012-07-01,62.7
2012-10-01,63.7
2013-01-01,64.9
2013-04-01,66.3
2013-07-01,67.4
2013-10-01,68.1
2014-01-01,68.0
2014-04-01,67.9
2014-07-01,68.2
2014-10-01,68.9
2015-01-01,69.3
2015-04-01,69.5
2015-07-01,69.5
2015-10-01,69.8
2016-01-01,69.6
2016-04-01,69.5
2016-07-01,69.3
2016-10-01,69.2
2017-01-01,67.9
2017-04-01,67.0
2017-07-01,66.3
2017-10-01,66.2
2018-01-01,66.2
2018-04-01,67.9
2018-07-01,67.9
2018-10-01,68.0
2019-01-01,67.9
2019-04-01,67.8
2019-07-01,67.9
2019-10-01,68.1
2020-01-01,67.9
2020-04-01,71.8
2020-07-01,74.5
2020-10-01,76.3
2021-01-01,76.6
2021-04-01,73.2
2021-07-01,73.4
2021-10-01,72.9
2022-01-01,71.4
2022-04-01,69.2
2022-07-01,67.1
2022-10-01,66.6
2023-01-01,66.4
2023-04-01,67.4
2023-07-01,68.4
2023-10-01,69.4
2024-01-01,69.5
2024-04-01,69.1
2024-07-01,69.2
2024-10-01,69.5
2025-01-01,69.6
