Tarih,TP_BISTOPKREDI_QCL3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,90.4
2003-01-01,89.2
2003-04-01,84.7
2003-07-01,81.7
2003-10-01,77.3
2004-01-01,76.8
2004-04-01,75.5
2004-07-01,73.5
2004-10-01,68.5
2005-01-01,68.9
2005-04-01,68.5
2005-07-01,65.8
2005-10-01,64.1
2006-01-01,63.3
2006-04-01,62.5
2006-07-01,61.6
2006-10-01,61.2
2007-01-01,61.3
2007-04-01,60.5
2007-07-01,62.2
2007-10-01,63.2
2008-01-01,61.4
2008-04-01,66.6
2008-07-01,72.4
2008-10-01,78.9
2009-01-01,79.5
2009-04-01,76.4
2009-07-01,77.7
2009-10-01,76.3
2010-01-01,76.5
2010-04-01,77.2
2010-07-01,72.2
2010-10-01,70.2
2011-01-01,70.4
2011-04-01,70.2
2011-07-01,73.6
2011-10-01,75.4
2012-01-01,74.4
2012-04-01,77.2
2012-07-01,77.0
2012-10-01,80.5
2013-01-01,79.9
2013-04-01,82.6
2013-07-01,83.9
2013-10-01,87.2
2014-01-01,89.5
2014-04-01,89.9
2014-07-01,94.5
2014-10-01,96.9
2015-01-01,97.0
2015-04-01,96.9
2015-07-01,105.3
2015-10-01,104.3
2016-01-01,102.0
2016-04-01,100.7
2016-07-01,100.5
2016-10-01,100.4
2017-01-01,99.6
2017-04-01,99.1
2017-07-01,96.5
2017-10-01,93.8
2018-01-01,92.7
2018-04-01,93.6
2018-07-01,95.0
2018-10-01,97.6
2019-01-01,97.2
2019-04-01,99.8
2019-07-01,104.4
2019-10-01,106.1
2020-01-01,111.9
2020-04-01,119.6
2020-07-01,118.8
2020-10-01,109.8
2021-01-01,107.8
2021-04-01,101.7
2021-07-01,102.8
2021-10-01,101.9
2022-01-01,96.8
2022-04-01,103.7
2022-07-01,104.8
2022-10-01,97.9
2023-01-01,91.5
2023-04-01,91.3
2023-07-01,95.9
2023-10-01,95.7
2024-01-01,99.8
2024-04-01,96.5
2024-07-01,92.5
2024-10-01,94.2
2025-01-01,91.3
