Tarih,TP_BISTOPKREDI_QES3
2000-01-01,68.6
2000-04-01,71.6
2000-07-01,75.6
2000-10-01,76.6
2001-01-01,77.1
2001-04-01,79.2
2001-07-01,82.7
2001-10-01,84.2
2002-01-01,85.4
2002-04-01,85.2
2002-07-01,85.0
2002-10-01,86.9
2003-01-01,87.3
2003-04-01,87.7
2003-07-01,88.6
2003-10-01,91.5
2004-01-01,92.7
2004-04-01,95.0
2004-07-01,95.9
2004-10-01,98.4
2005-01-01,100.5
2005-04-01,103.7
2005-07-01,105.1
2005-10-01,108.5
2006-01-01,112.9
2006-04-01,115.3
2006-07-01,118.6
2006-10-01,123.1
2007-01-01,125.4
2007-04-01,131.4
2007-07-01,132.9
2007-10-01,134.4
2008-01-01,133.3
2008-04-01,135.5
2008-07-01,137.2
2008-10-01,138.6
2009-01-01,141.3
2009-04-01,142.4
2009-07-01,144.2
2009-10-01,144.9
2010-01-01,146.3
2010-04-01,148.2
2010-07-01,147.9
2010-10-01,146.8
2011-01-01,145.4
2011-04-01,145.2
2011-07-01,144.8
2011-10-01,144.0
2012-01-01,145.2
2012-04-01,145.1
2012-07-01,144.6
2012-10-01,136.5
2013-01-01,134.4
2013-04-01,132.5
2013-07-01,131.4
2013-10-01,130.4
2014-01-01,128.1
2014-04-01,125.9
2014-07-01,124.6
2014-10-01,120.6
2015-01-01,119.6
2015-04-01,116.8
2015-07-01,114.6
2015-10-01,112.4
2016-01-01,111.1
2016-04-01,110.2
2016-07-01,108.8
2016-10-01,108.1
2017-01-01,106.9
2017-04-01,104.7
2017-07-01,102.7
2017-10-01,100.8
2018-01-01,99.9
2018-04-01,99.4
2018-07-01,98.6
2018-10-01,97.5
2019-01-01,97.2
2019-04-01,96.7
2019-07-01,96.7
2019-10-01,95.3
2020-01-01,95.8
2020-04-01,103.8
2020-07-01,105.6
2020-10-01,108.6
2021-01-01,109.9
2021-04-01,106.7
2021-07-01,104.3
2021-10-01,102.0
2022-01-01,98.4
2022-04-01,95.8
2022-07-01,94.5
2022-10-01,91.6
2023-01-01,89.1
2023-04-01,87.1
2023-07-01,85.0
2023-10-01,84.0
2024-01-01,84.0
2024-04-01,83.2
2024-07-01,82.7
2024-10-01,80.4
2025-01-01,79.2
