Tarih,TP_BISTOPKREDI_QLU2
2000-01-01,39.3
2000-04-01,39.0
2000-07-01,38.6
2000-10-01,38.8
2001-01-01,39.3
2001-04-01,40.1
2001-07-01,39.0
2001-10-01,39.2
2002-01-01,39.1
2002-04-01,38.7
2002-07-01,37.9
2002-10-01,39.8
2003-01-01,40.1
2003-04-01,42.1
2003-07-01,41.2
2003-10-01,43.3
2004-01-01,43.5
2004-04-01,43.6
2004-07-01,43.4
2004-10-01,44.2
2005-01-01,44.6
2005-04-01,45.7
2005-07-01,46.9
2005-10-01,46.0
2006-01-01,45.6
2006-04-01,45.4
2006-07-01,45.1
2006-10-01,45.9
2007-01-01,49.3
2007-04-01,49.8
2007-07-01,50.3
2007-10-01,51.2
2008-01-01,51.2
2008-04-01,51.9
2008-07-01,52.9
2008-10-01,52.0
2009-01-01,52.7
2009-04-01,54.6
2009-07-01,55.8
2009-10-01,55.8
2010-01-01,55.0
2010-04-01,54.8
2010-07-01,54.8
2010-10-01,55.7
2011-01-01,55.9
2011-04-01,56.4
2011-07-01,56.4
2011-10-01,56.8
2012-01-01,57.0
2012-04-01,58.3
2012-07-01,58.5
2012-10-01,58.9
2013-01-01,58.9
2013-04-01,58.9
2013-07-01,58.2
2013-10-01,58.0
2014-01-01,59.1
2014-04-01,59.5
2014-07-01,60.3
2014-10-01,59.4
2015-01-01,60.6
2015-04-01,58.4
2015-07-01,59.7
2015-10-01,59.7
2016-01-01,60.0
2016-04-01,61.5
2016-07-01,61.9
2016-10-01,61.3
2017-01-01,62.5
2017-04-01,63.2
2017-07-01,62.9
2017-10-01,63.1
2018-01-01,62.7
2018-04-01,63.0
2018-07-01,64.0
2018-10-01,66.5
2019-01-01,66.6
2019-04-01,67.4
2019-07-01,68.0
2019-10-01,68.3
2020-01-01,68.4
2020-04-01,69.7
2020-07-01,69.6
2020-10-01,69.8
2021-01-01,69.1
2021-04-01,68.3
2021-07-01,67.4
2021-10-01,67.0
2022-01-01,67.1
2022-04-01,67.4
2022-07-01,68.3
2022-10-01,68.2
2023-01-01,68.2
2023-04-01,69.6
2023-07-01,67.9
2023-10-01,64.6
2024-01-01,63.7
2024-04-01,63.9
2024-07-01,63.0
2024-10-01,63.0
2025-01-01,61.4
