Tarih,TP_BISTOPKREDI_QDK2
2000-01-01,77.2
2000-04-01,75.8
2000-07-01,76.0
2000-10-01,75.8
2001-01-01,77.7
2001-04-01,77.9
2001-07-01,78.4
2001-10-01,80.5
2002-01-01,81.1
2002-04-01,81.8
2002-07-01,84.2
2002-10-01,84.8
2003-01-01,87.0
2003-04-01,89.0
2003-07-01,90.0
2003-10-01,90.3
2004-01-01,92.9
2004-04-01,92.8
2004-07-01,93.5
2004-10-01,94.4
2005-01-01,96.6
2005-04-01,98.8
2005-07-01,100.6
2005-10-01,101.7
2006-01-01,103.5
2006-04-01,105.0
2006-07-01,106.3
2006-10-01,108.2
2007-01-01,108.8
2007-04-01,111.7
2007-07-01,113.9
2007-10-01,115.5
2008-01-01,116.8
2008-04-01,118.1
2008-07-01,118.6
2008-10-01,119.7
2009-01-01,122.1
2009-04-01,124.8
2009-07-01,128.0
2009-10-01,129.9
2010-01-01,131.6
2010-04-01,130.3
2010-07-01,129.2
2010-10-01,128.1
2011-01-01,125.2
2011-04-01,124.9
2011-07-01,125.9
2011-10-01,125.9
2012-01-01,126.0
2012-04-01,126.4
2012-07-01,125.0
2012-10-01,124.1
2013-01-01,123.7
2013-04-01,122.6
2013-07-01,121.8
2013-10-01,124.7
2014-01-01,124.1
2014-04-01,123.9
2014-07-01,123.5
2014-10-01,122.7
2015-01-01,122.2
2015-04-01,119.9
2015-07-01,119.4
2015-10-01,118.8
2016-01-01,118.7
2016-04-01,118.6
2016-07-01,118.6
2016-10-01,116.9
2017-01-01,115.9
2017-04-01,114.8
2017-07-01,114.6
2017-10-01,113.8
2018-01-01,113.6
2018-04-01,113.6
2018-07-01,112.8
2018-10-01,112.3
2019-01-01,112.6
2019-04-01,112.2
2019-07-01,111.9
2019-10-01,110.8
2020-01-01,110.1
2020-04-01,111.6
2020-07-01,112.0
2020-10-01,112.1
2021-01-01,110.5
2021-04-01,107.2
2021-07-01,104.6
2021-10-01,102.5
2022-01-01,97.1
2022-04-01,91.1
2022-07-01,85.5
2022-10-01,85.2
2023-01-01,86.7
2023-04-01,86.5
2023-07-01,87.5
2023-10-01,90.8
2024-01-01,90.6
2024-04-01,89.5
2024-07-01,89.8
2024-10-01,85.7
2025-01-01,84.7
