Tarih,TP_BISTOPKREDI_QCL2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,22.6
2003-01-01,22.9
2003-04-01,23.0
2003-07-01,23.1
2003-10-01,23.5
2004-01-01,24.4
2004-04-01,24.6
2004-07-01,24.9
2004-10-01,25.2
2005-01-01,25.1
2005-04-01,25.3
2005-07-01,25.8
2005-10-01,26.3
2006-01-01,26.3
2006-04-01,26.0
2006-07-01,26.3
2006-10-01,26.4
2007-01-01,26.7
2007-04-01,27.3
2007-07-01,28.2
2007-10-01,29.0
2008-01-01,29.5
2008-04-01,30.5
2008-07-01,31.7
2008-10-01,32.7
2009-01-01,33.0
2009-04-01,33.4
2009-07-01,33.7
2009-10-01,34.0
2010-01-01,33.6
2010-04-01,33.3
2010-07-01,32.8
2010-10-01,32.6
2011-01-01,32.3
2011-04-01,32.5
2011-07-01,33.0
2011-10-01,33.8
2012-01-01,34.3
2012-04-01,34.6
2012-07-01,34.7
2012-10-01,35.3
2013-01-01,35.7
2013-04-01,36.1
2013-07-01,36.6
2013-10-01,37.3
2014-01-01,37.8
2014-04-01,38.4
2014-07-01,38.6
2014-10-01,39.4
2015-01-01,39.4
2015-04-01,39.8
2015-07-01,40.3
2015-10-01,41.3
2016-01-01,41.5
2016-04-01,41.9
2016-07-01,42.0
2016-10-01,42.4
2017-01-01,43.0
2017-04-01,43.3
2017-07-01,43.4
2017-10-01,43.8
2018-01-01,43.9
2018-04-01,44.2
2018-07-01,44.9
2018-10-01,45.9
2019-01-01,46.3
2019-04-01,47.1
2019-07-01,47.6
2019-10-01,48.1
2020-01-01,48.3
2020-04-01,48.7
2020-07-01,48.7
2020-10-01,48.4
2021-01-01,48.1
2021-04-01,46.6
2021-07-01,45.3
2021-10-01,45.0
2022-01-01,44.8
2022-04-01,45.4
2022-07-01,45.8
2022-10-01,46.4
2023-01-01,46.4
2023-04-01,46.2
2023-07-01,46.0
2023-10-01,46.3
2024-01-01,46.0
2024-04-01,45.7
2024-07-01,45.1
2024-10-01,44.8
2025-01-01,44.9
