Tarih,TP_BISTOPKREDI_QIL1
2000-01-01,45.5
2000-04-01,42.7
2000-07-01,39.0
2000-10-01,36.3
2001-01-01,34.6
2001-04-01,32.4
2001-07-01,33.0
2001-10-01,33.5
2002-01-01,32.3
2002-04-01,32.8
2002-07-01,33.4
2002-10-01,31.9
2003-01-01,31.8
2003-04-01,32.6
2003-07-01,32.4
2003-10-01,30.7
2004-01-01,31.6
2004-04-01,31.5
2004-07-01,30.5
2004-10-01,29.3
2005-01-01,29.4
2005-04-01,30.2
2005-07-01,29.4
2005-10-01,28.0
2006-01-01,28.1
2006-04-01,26.9
2006-07-01,26.0
2006-10-01,24.6
2007-01-01,24.8
2007-04-01,24.0
2007-07-01,28.3
2007-10-01,24.4
2008-01-01,27.2
2008-04-01,30.6
2008-07-01,37.4
2008-10-01,43.9
2009-01-01,49.3
2009-04-01,56.6
2009-07-01,61.2
2009-10-01,63.5
2010-01-01,77.0
2010-04-01,74.1
2010-07-01,81.3
2010-10-01,78.9
2011-01-01,82.2
2011-04-01,79.8
2011-07-01,106.2
2011-10-01,105.3
2012-01-01,111.7
2012-04-01,115.2
2012-07-01,123.4
2012-10-01,124.0
2013-01-01,130.3
2013-04-01,129.1
2013-07-01,128.1
2013-10-01,126.9
2014-01-01,125.9
2014-04-01,121.3
2014-07-01,120.5
2014-10-01,118.2
2015-01-01,109.9
2015-04-01,99.3
2015-07-01,92.9
2015-10-01,85.7
2016-01-01,87.6
2016-04-01,85.3
2016-07-01,86.8
2016-10-01,84.4
2017-01-01,84.0
2017-04-01,82.2
2017-07-01,79.8
2017-10-01,73.8
2018-01-01,74.3
2018-04-01,73.6
2018-07-01,72.4
2018-10-01,67.2
2019-01-01,70.2
2019-04-01,68.8
2019-07-01,67.6
2019-10-01,62.2
2020-01-01,63.7
2020-04-01,67.6
2020-07-01,67.1
2020-10-01,64.5
2021-01-01,64.5
2021-04-01,61.9
2021-07-01,59.7
2021-10-01,56.7
2022-01-01,52.5
2022-04-01,48.1
2022-07-01,44.6
2022-10-01,39.8
2023-01-01,39.0
2023-04-01,38.5
2023-07-01,37.7
2023-10-01,39.6
2024-01-01,38.3
2024-04-01,37.8
2024-07-01,38.1
2024-10-01,36.4
2025-01-01,32.4
