Tarih,TP_BISTOPKREDI_QSG3
2000-01-01,99.2
2000-04-01,99.2
2000-07-01,102.7
2000-10-01,106.2
2001-01-01,104.9
2001-04-01,106.2
2001-07-01,107.0
2001-10-01,111.5
2002-01-01,109.9
2002-04-01,109.1
2002-07-01,108.3
2002-10-01,109.5
2003-01-01,107.3
2003-04-01,107.9
2003-07-01,106.3
2003-10-01,104.3
2004-01-01,102.8
2004-04-01,102.6
2004-07-01,101.1
2004-10-01,102.3
2005-01-01,102.1
2005-04-01,105.6
2005-07-01,105.4
2005-10-01,106.9
2006-01-01,106.6
2006-04-01,107.8
2006-07-01,107.3
2006-10-01,108.7
2007-01-01,112.8
2007-04-01,117.2
2007-07-01,120.2
2007-10-01,125.4
2008-01-01,130.1
2008-04-01,135.7
2008-07-01,140.4
2008-10-01,149.9
2009-01-01,151.9
2009-04-01,154.0
2009-07-01,156.5
2009-10-01,157.5
2010-01-01,154.9
2010-04-01,152.8
2010-07-01,150.0
2010-10-01,145.0
2011-01-01,145.8
2011-04-01,146.1
2011-07-01,147.5
2011-10-01,147.9
2012-01-01,154.3
2012-04-01,152.5
2012-07-01,155.8
2012-10-01,148.6
2013-01-01,152.3
2013-04-01,153.9
2013-07-01,151.4
2013-10-01,150.6
2014-01-01,155.5
2014-04-01,153.4
2014-07-01,150.6
2014-10-01,151.4
2015-01-01,155.0
2015-04-01,152.1
2015-07-01,151.5
2015-10-01,154.8
2016-01-01,148.8
2016-04-01,149.0
2016-07-01,150.3
2016-10-01,150.7
2017-01-01,155.2
2017-04-01,154.2
2017-07-01,153.2
2017-10-01,155.4
2018-01-01,157.0
2018-04-01,156.1
2018-07-01,156.5
2018-10-01,153.4
2019-01-01,159.9
2019-04-01,160.8
2019-07-01,161.5
2019-10-01,161.2
2020-01-01,167.1
2020-04-01,169.4
2020-07-01,170.7
2020-10-01,170.2
2021-01-01,175.5
2021-04-01,172.4
2021-07-01,173.1
2021-10-01,179.3
2022-01-01,179.9
2022-04-01,178.7
2022-07-01,182.0
2022-10-01,184.9
2023-01-01,161.5
2023-04-01,163.7
2023-07-01,156.9
2023-10-01,152.7
2024-01-01,164.7
2024-04-01,165.4
2024-07-01,168.6
2024-10-01,165.7
2025-01-01,156.4
