Tarih,TP_BISTOPKREDI_QAU1
2000-01-01,73.7
2000-04-01,73.7
2000-07-01,73.6
2000-10-01,69.3
2001-01-01,72.3
2001-04-01,72.4
2001-07-01,72.6
2001-10-01,70.2
2002-01-01,73.0
2002-04-01,72.9
2002-07-01,74.4
2002-10-01,72.0
2003-01-01,74.8
2003-04-01,77.4
2003-07-01,73.6
2003-10-01,70.3
2004-01-01,73.2
2004-04-01,75.2
2004-07-01,76.2
2004-10-01,70.3
2005-01-01,77.9
2005-04-01,82.7
2005-07-01,81.5
2005-10-01,74.5
2006-01-01,75.3
2006-04-01,76.9
2006-07-01,74.4
2006-10-01,70.6
2007-01-01,73.3
2007-04-01,75.5
2007-07-01,77.0
2007-10-01,66.6
2008-01-01,67.6
2008-04-01,65.9
2008-07-01,67.0
2008-10-01,71.7
2009-01-01,74.8
2009-04-01,77.2
2009-07-01,77.2
2009-10-01,84.4
2010-01-01,86.0
2010-04-01,90.9
2010-07-01,91.2
2010-10-01,88.6
2011-01-01,86.0
2011-04-01,87.1
2011-07-01,89.8
2011-10-01,89.5
2012-01-01,91.0
2012-04-01,94.0
2012-07-01,93.3
2012-10-01,93.7
2013-01-01,94.3
2013-04-01,92.8
2013-07-01,93.5
2013-10-01,90.5
2014-01-01,91.8
2014-04-01,94.5
2014-07-01,93.8
2014-10-01,98.2
2015-01-01,100.7
2015-04-01,97.6
2015-07-01,98.1
2015-10-01,96.5
2016-01-01,99.1
2016-04-01,100.1
2016-07-01,97.7
2016-10-01,96.3
2017-01-01,93.8
2017-04-01,92.9
2017-07-01,91.5
2017-10-01,89.8
2018-01-01,88.0
2018-04-01,87.8
2018-07-01,86.0
2018-10-01,84.5
2019-01-01,84.6
2019-04-01,85.0
2019-07-01,85.6
2019-10-01,82.9
2020-01-01,85.4
2020-04-01,96.3
2020-07-01,93.7
2020-10-01,98.5
2021-01-01,99.4
2021-04-01,97.2
2021-07-01,94.9
2021-10-01,92.0
2022-01-01,87.9
2022-04-01,81.2
2022-07-01,76.2
2022-10-01,71.7
2023-01-01,74.0
2023-04-01,72.1
2023-07-01,70.5
2023-10-01,73.9
2024-01-01,75.2
2024-04-01,76.1
2024-07-01,78.4
2024-10-01,76.8
2025-01-01,78.1
