Tarih,TP_BISTOPKREDI_QHU1
2000-01-01,64.5
2000-04-01,61.7
2000-07-01,60.2
2000-10-01,58.6
2001-01-01,57.0
2001-04-01,55.0
2001-07-01,54.7
2001-10-01,54.5
2002-01-01,54.8
2002-04-01,53.9
2002-07-01,55.1
2002-10-01,57.1
2003-01-01,60.1
2003-04-01,59.9
2003-07-01,60.1
2003-10-01,57.2
2004-01-01,58.1
2004-04-01,58.0
2004-07-01,58.4
2004-10-01,59.5
2005-01-01,63.5
2005-04-01,65.3
2005-07-01,66.0
2005-10-01,62.2
2006-01-01,66.5
2006-04-01,66.5
2006-07-01,66.8
2006-10-01,65.3
2007-01-01,65.7
2007-04-01,66.4
2007-07-01,66.2
2007-10-01,66.1
2008-01-01,64.8
2008-04-01,62.3
2008-07-01,63.7
2008-10-01,70.5
2009-01-01,78.4
2009-04-01,73.8
2009-07-01,78.2
2009-10-01,78.5
2010-01-01,82.0
2010-04-01,84.3
2010-07-01,82.5
2010-10-01,80.0
2011-01-01,82.0
2011-04-01,77.3
2011-07-01,82.7
2011-10-01,78.1
2012-01-01,76.6
2012-04-01,78.0
2012-07-01,79.7
2012-10-01,81.6
2013-01-01,83.6
2013-04-01,82.3
2013-07-01,81.2
2013-10-01,80.7
2014-01-01,85.1
2014-04-01,88.0
2014-07-01,86.5
2014-10-01,84.6
2015-01-01,87.9
2015-04-01,87.8
2015-07-01,87.7
2015-10-01,84.5
2016-01-01,86.4
2016-04-01,84.0
2016-07-01,84.0
2016-10-01,83.7
2017-01-01,83.4
2017-04-01,81.9
2017-07-01,80.6
2017-10-01,79.3
2018-01-01,78.2
2018-04-01,76.9
2018-07-01,75.3
2018-10-01,73.7
2019-01-01,73.6
2019-04-01,72.5
2019-07-01,73.6
2019-10-01,71.2
2020-01-01,70.0
2020-04-01,74.9
2020-07-01,77.9
2020-10-01,84.1
2021-01-01,83.8
2021-04-01,79.6
2021-07-01,81.5
2021-10-01,76.1
2022-01-01,73.0
2022-04-01,69.4
2022-07-01,66.1
2022-10-01,65.8
2023-01-01,67.5
2023-04-01,69.4
2023-07-01,69.7
2023-10-01,71.3
2024-01-01,72.4
2024-04-01,72.6
2024-07-01,74.2
2024-10-01,72.3
2025-01-01,72.4
