Tarih,TP_BISTOPKREDI_QAT1
2000-01-01,21.5
2000-04-01,20.3
2000-07-01,19.0
2000-10-01,18.3
2001-01-01,17.7
2001-04-01,17.1
2001-07-01,17.1
2001-10-01,16.7
2002-01-01,15.6
2002-04-01,15.4
2002-07-01,15.5
2002-10-01,15.0
2003-01-01,14.1
2003-04-01,14.3
2003-07-01,13.0
2003-10-01,12.5
2004-01-01,12.4
2004-04-01,12.2
2004-07-01,11.8
2004-10-01,11.5
2005-01-01,11.4
2005-04-01,11.0
2005-07-01,10.6
2005-10-01,10.5
2006-01-01,10.4
2006-04-01,10.0
2006-07-01,10.0
2006-10-01,9.3
2007-01-01,9.0
2007-04-01,9.1
2007-07-01,9.6
2007-10-01,9.2
2008-01-01,9.1
2008-04-01,10.0
2008-07-01,9.8
2008-10-01,10.4
2009-01-01,11.2
2009-04-01,13.1
2009-07-01,14.6
2009-10-01,15.6
2010-01-01,17.1
2010-04-01,18.5
2010-07-01,19.2
2010-10-01,19.7
2011-01-01,20.7
2011-04-01,21.8
2011-07-01,23.6
2011-10-01,24.8
2012-01-01,25.6
2012-04-01,26.7
2012-07-01,28.4
2012-10-01,28.6
2013-01-01,28.9
2013-04-01,28.1
2013-07-01,29.6
2013-10-01,30.4
2014-01-01,31.4
2014-04-01,32.1
2014-07-01,33.5
2014-10-01,34.7
2015-01-01,36.2
2015-04-01,35.4
2015-07-01,37.9
2015-10-01,37.5
2016-01-01,39.1
2016-04-01,39.5
2016-07-01,40.9
2016-10-01,39.9
2017-01-01,40.3
2017-04-01,40.8
2017-07-01,40.2
2017-10-01,40.8
2018-01-01,41.0
2018-04-01,40.8
2018-07-01,40.6
2018-10-01,40.7
2019-01-01,41.3
2019-04-01,42.0
2019-07-01,43.4
2019-10-01,42.8
2020-01-01,45.3
2020-04-01,52.4
2020-07-01,60.4
2020-10-01,61.0
2021-01-01,59.4
2021-04-01,57.8
2021-07-01,58.5
2021-10-01,57.1
2022-01-01,53.7
2022-04-01,52.4
2022-07-01,50.7
2022-10-01,49.4
2023-01-01,50.5
2023-04-01,48.2
2023-07-01,48.1
2023-10-01,49.7
2024-01-01,50.2
2024-04-01,49.0
2024-07-01,51.1
2024-10-01,49.9
2025-01-01,51.7
