Tarih,TP_BISTOPKREDI_Q5A2
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,67.7
2008-04-01,65.7
2008-07-01,61.6
2008-10-01,60.4
2009-01-01,60.7
2009-04-01,65.8
2009-07-01,69.0
2009-10-01,67.8
2010-01-01,64.9
2010-04-01,62.5
2010-07-01,65.0
2010-10-01,64.5
2011-01-01,64.6
2011-04-01,63.7
2011-07-01,60.3
2011-10-01,59.3
2012-01-01,59.5
2012-04-01,58.7
2012-07-01,60.4
2012-10-01,60.2
2013-01-01,59.0
2013-04-01,58.6
2013-07-01,59.6
2013-10-01,59.7
2014-01-01,59.7
2014-04-01,59.9
2014-07-01,57.4
2014-10-01,56.5
2015-01-01,55.3
2015-04-01,57.6
2015-07-01,58.1
2015-10-01,58.6
2016-01-01,60.6
2016-04-01,60.8
2016-07-01,61.3
2016-10-01,59.4
2017-01-01,60.3
2017-04-01,61.8
2017-07-01,62.4
2017-10-01,62.5
2018-01-01,62.2
2018-04-01,59.6
2018-07-01,59.4
2018-10-01,59.9
2019-01-01,60.6
2019-04-01,61.6
2019-07-01,60.7
2019-10-01,62.4
2020-01-01,61.0
2020-04-01,64.2
2020-07-01,67.0
2020-10-01,69.9
2021-01-01,67.8
2021-04-01,66.7
2021-07-01,65.0
2021-10-01,64.4
2022-01-01,63.7
2022-04-01,61.5
2022-07-01,59.6
2022-10-01,62.3
2023-01-01,62.5
2023-04-01,61.6
2023-07-01,60.6
2023-10-01,61.7
2024-01-01,60.5
2024-04-01,60.1
2024-07-01,61.6
2024-10-01,58.7
2025-01-01,59.5
