Tarih,TP_BISTOPKREDI_QG22
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,67.9
2008-04-01,65.9
2008-07-01,62.1
2008-10-01,60.9
2009-01-01,61.1
2009-04-01,65.9
2009-07-01,68.8
2009-10-01,67.7
2010-01-01,64.8
2010-04-01,62.5
2010-07-01,64.7
2010-10-01,64.1
2011-01-01,64.1
2011-04-01,63.1
2011-07-01,59.9
2011-10-01,59.0
2012-01-01,58.9
2012-04-01,58.2
2012-07-01,59.7
2012-10-01,59.3
2013-01-01,58.1
2013-04-01,57.8
2013-07-01,58.7
2013-10-01,58.8
2014-01-01,58.7
2014-04-01,58.9
2014-07-01,56.5
2014-10-01,55.7
2015-01-01,54.5
2015-04-01,56.6
2015-07-01,57.2
2015-10-01,57.7
2016-01-01,59.4
2016-04-01,59.8
2016-07-01,60.2
2016-10-01,58.4
2017-01-01,59.3
2017-04-01,60.7
2017-07-01,61.4
2017-10-01,61.5
2018-01-01,61.2
2018-04-01,58.7
2018-07-01,58.5
2018-10-01,59.0
2019-01-01,59.8
2019-04-01,60.6
2019-07-01,59.9
2019-10-01,61.4
2020-01-01,60.3
2020-04-01,63.2
2020-07-01,66.0
2020-10-01,68.7
2021-01-01,66.9
2021-04-01,65.8
2021-07-01,64.3
2021-10-01,63.7
2022-01-01,63.1
2022-04-01,61.1
2022-07-01,59.3
2022-10-01,61.8
2023-01-01,61.9
2023-04-01,61.0
2023-07-01,60.1
2023-10-01,61.0
2024-01-01,60.0
2024-04-01,59.6
2024-07-01,60.9
2024-10-01,58.2
2025-01-01,58.9
