Tarih,TP_BISTOPKREDI_QIE3
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,57.8
2007-07-01,59.3
2007-10-01,60.5
2008-01-01,65.5
2008-04-01,63.7
2008-07-01,65.6
2008-10-01,66.1
2009-01-01,69.4
2009-04-01,67.3
2009-07-01,68.6
2009-10-01,67.7
2010-01-01,70.7
2010-04-01,69.6
2010-07-01,68.8
2010-10-01,71.9
2011-01-01,71.7
2011-04-01,70.4
2011-07-01,69.9
2011-10-01,72.1
2012-01-01,72.2
2012-04-01,71.0
2012-07-01,71.7
2012-10-01,72.7
2013-01-01,70.2
2013-04-01,68.2
2013-07-01,66.0
2013-10-01,64.1
2014-01-01,64.6
2014-04-01,64.5
2014-07-01,65.5
2014-10-01,66.9
2015-01-01,65.8
2015-04-01,64.2
2015-07-01,64.1
2015-10-01,63.7
2016-01-01,60.6
2016-04-01,59.0
2016-07-01,55.3
2016-10-01,54.9
2017-01-01,56.1
2017-04-01,60.0
2017-07-01,62.4
2017-10-01,66.5
2018-01-01,63.2
2018-04-01,61.4
2018-07-01,59.4
2018-10-01,58.3
2019-01-01,55.6
2019-04-01,53.4
2019-07-01,51.9
2019-10-01,51.2
2020-01-01,49.9
2020-04-01,52.9
2020-07-01,54.2
2020-10-01,55.0
2021-01-01,53.7
2021-04-01,51.4
2021-07-01,50.4
2021-10-01,51.5
2022-01-01,50.4
2022-04-01,48.8
2022-07-01,48.8
2022-10-01,48.5
2023-01-01,48.8
2023-04-01,49.9
2023-07-01,49.0
2023-10-01,50.2
2024-01-01,50.4
2024-04-01,50.6
2024-07-01,50.4
2024-10-01,51.1
2025-01-01,51.3
