Tarih,TP_BISTOPKREDI_QG21
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,62.9
2002-01-01,63.0
2002-04-01,68.5
2002-07-01,68.2
2002-10-01,69.6
2003-01-01,70.2
2003-04-01,71.1
2003-07-01,71.4
2003-10-01,72.2
2004-01-01,74.4
2004-04-01,71.4
2004-07-01,70.8
2004-10-01,73.9
2005-01-01,71.5
2005-04-01,69.2
2005-07-01,67.2
2005-10-01,66.0
2006-01-01,66.2
2006-04-01,66.1
2006-07-01,65.4
2006-10-01,64.7
2007-01-01,64.3
2007-04-01,62.6
2007-07-01,64.0
2007-10-01,64.1
2008-01-01,66.5
2008-04-01,63.1
2008-07-01,60.6
2008-10-01,65.5
2009-01-01,67.2
2009-04-01,73.8
2009-07-01,79.7
2009-10-01,78.9
2010-01-01,77.4
2010-04-01,77.6
2010-07-01,82.3
2010-10-01,82.1
2011-01-01,82.2
2011-04-01,82.4
2011-07-01,81.4
2011-10-01,80.9
2012-01-01,81.6
2012-04-01,82.4
2012-07-01,85.4
2012-10-01,84.8
2013-01-01,83.4
2013-04-01,81.5
2013-07-01,82.5
2013-10-01,82.2
2014-01-01,83.8
2014-04-01,84.8
2014-07-01,81.4
2014-10-01,81.2
2015-01-01,80.5
2015-04-01,81.6
2015-07-01,83.3
2015-10-01,84.2
2016-01-01,89.7
2016-04-01,92.2
2016-07-01,92.5
2016-10-01,86.9
2017-01-01,88.0
2017-04-01,89.5
2017-07-01,90.0
2017-10-01,89.7
2018-01-01,90.1
2018-04-01,85.4
2018-07-01,83.9
2018-10-01,85.6
2019-01-01,88.0
2019-04-01,89.9
2019-07-01,90.0
2019-10-01,90.6
2020-01-01,92.6
2020-04-01,103.5
2020-07-01,108.2
2020-10-01,112.4
2021-01-01,106.6
2021-04-01,103.9
2021-07-01,100.6
2021-10-01,99.3
2022-01-01,95.9
2022-04-01,89.1
2022-07-01,84.2
2022-10-01,88.1
2023-01-01,90.4
2023-04-01,88.7
2023-07-01,86.8
2023-10-01,91.4
2024-01-01,90.3
2024-04-01,89.3
2024-07-01,94.1
2024-10-01,89.8
2025-01-01,92.4
