Tarih,TP_BISTOPKREDI_QFR2
2000-01-01,34.7
2000-04-01,34.8
2000-07-01,34.9
2000-10-01,34.8
2001-01-01,34.9
2001-04-01,35.1
2001-07-01,35.2
2001-10-01,35.3
2002-01-01,35.4
2002-04-01,35.7
2002-07-01,36.0
2002-10-01,36.1
2003-01-01,36.2
2003-04-01,36.6
2003-07-01,37.1
2003-10-01,37.6
2004-01-01,37.8
2004-04-01,38.6
2004-07-01,39.1
2004-10-01,39.3
2005-01-01,39.7
2005-04-01,40.7
2005-07-01,41.3
2005-10-01,42.2
2006-01-01,42.6
2006-04-01,43.6
2006-07-01,44.1
2006-10-01,44.6
2007-01-01,45.0
2007-04-01,45.9
2007-07-01,46.5
2007-10-01,47.1
2008-01-01,47.4
2008-04-01,48.0
2008-07-01,48.7
2008-10-01,49.4
2009-01-01,50.4
2009-04-01,51.1
2009-07-01,52.0
2009-10-01,53.2
2010-01-01,53.1
2010-04-01,53.3
2010-07-01,53.4
2010-10-01,54.3
2011-01-01,54.4
2011-04-01,55.0
2011-07-01,55.2
2011-10-01,55.4
2012-01-01,55.4
2012-04-01,55.5
2012-07-01,55.4
2012-10-01,55.8
2013-01-01,55.8
2013-04-01,55.8
2013-07-01,56.0
2013-10-01,56.0
2014-01-01,56.2
2014-04-01,56.3
2014-07-01,56.3
2014-10-01,56.4
2015-01-01,56.2
2015-04-01,56.4
2015-07-01,56.7
2015-10-01,56.9
2016-01-01,56.5
2016-04-01,56.9
2016-07-01,57.4
2016-10-01,58.2
2017-01-01,58.3
2017-04-01,58.8
2017-07-01,59.0
2017-10-01,59.4
2018-01-01,59.4
2018-04-01,59.9
2018-07-01,60.3
2018-10-01,60.8
2019-01-01,60.3
2019-04-01,60.9
2019-07-01,61.6
2019-10-01,62.3
2020-01-01,63.0
2020-04-01,65.5
2020-07-01,67.0
2020-10-01,68.2
2021-01-01,68.1
2021-04-01,66.9
2021-07-01,66.8
2021-10-01,66.5
2022-01-01,66.0
2022-04-01,66.2
2022-07-01,66.3
2022-10-01,65.9
2023-01-01,65.1
2023-04-01,64.2
2023-07-01,63.3
2023-10-01,62.4
2024-01-01,61.5
2024-04-01,61.1
2024-07-01,60.7
2024-10-01,60.5
2025-01-01,60.2
