Tarih,TP_BISTOPKREDI_QG23
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,83.2
2008-04-01,81.9
2008-07-01,77.6
2008-10-01,78.3
2009-01-01,79.1
2009-04-01,85.1
2009-07-01,88.9
2009-10-01,87.3
2010-01-01,83.7
2010-04-01,80.8
2010-07-01,84.5
2010-10-01,83.7
2011-01-01,84.4
2011-04-01,83.8
2011-07-01,80.4
2011-10-01,79.9
2012-01-01,81.3
2012-04-01,80.7
2012-07-01,83.9
2012-10-01,84.1
2013-01-01,83.4
2013-04-01,83.9
2013-07-01,85.8
2013-10-01,86.1
2014-01-01,86.8
2014-04-01,87.8
2014-07-01,85.1
2014-10-01,84.4
2015-01-01,84.8
2015-04-01,88.1
2015-07-01,89.5
2015-10-01,90.6
2016-01-01,94.5
2016-04-01,94.1
2016-07-01,94.1
2016-10-01,90.2
2017-01-01,92.2
2017-04-01,93.8
2017-07-01,94.5
2017-10-01,94.7
2018-01-01,94.8
2018-04-01,90.5
2018-07-01,88.8
2018-10-01,89.0
2019-01-01,91.2
2019-04-01,91.8
2019-07-01,90.0
2019-10-01,91.4
2020-01-01,92.7
2020-04-01,99.3
2020-07-01,102.5
2020-10-01,105.4
2021-01-01,102.6
2021-04-01,99.7
2021-07-01,96.5
2021-10-01,95.0
2022-01-01,94.5
2022-04-01,91.4
2022-07-01,88.2
2022-10-01,92.0
2023-01-01,93.9
2023-04-01,91.6
2023-07-01,90.0
2023-10-01,91.7
2024-01-01,91.0
2024-04-01,90.6
2024-07-01,93.1
2024-10-01,88.6
2025-01-01,91.2
