Tarih,TP_BISTOPKREDI_QAR3
2000-01-01,23.3
2000-04-01,22.7
2000-07-01,23.4
2000-10-01,22.7
2001-01-01,21.7
2001-04-01,22.7
2001-07-01,21.7
2001-10-01,34.1
2002-01-01,72.7
2002-04-01,83.5
2002-07-01,75.6
2002-10-01,62.3
2003-01-01,51.6
2003-04-01,46.1
2003-07-01,44.2
2003-10-01,42.2
2004-01-01,38.0
2004-04-01,37.2
2004-07-01,36.1
2004-10-01,33.7
2005-01-01,31.1
2005-04-01,29.8
2005-07-01,28.0
2005-10-01,27.0
2006-01-01,26.2
2006-04-01,25.4
2006-07-01,24.5
2006-10-01,23.7
2007-01-01,22.9
2007-04-01,22.1
2007-07-01,21.8
2007-10-01,20.8
2008-01-01,19.9
2008-04-01,18.6
2008-07-01,18.4
2008-10-01,18.5
2009-01-01,19.0
2009-04-01,19.2
2009-07-01,18.8
2009-10-01,18.0
2010-01-01,17.3
2010-04-01,16.9
2010-07-01,16.5
2010-10-01,16.3
2011-01-01,16.0
2011-04-01,15.9
2011-07-01,16.2
2011-10-01,15.7
2012-01-01,15.3
2012-04-01,15.4
2012-07-01,15.6
2012-10-01,16.1
2013-01-01,15.7
2013-04-01,15.8
2013-07-01,16.0
2013-10-01,16.5
2014-01-01,16.4
2014-04-01,15.1
2014-07-01,14.6
2014-10-01,13.8
2015-01-01,13.5
2015-04-01,13.8
2015-07-01,13.6
2015-10-01,14.9
2016-01-01,15.0
2016-04-01,14.5
2016-07-01,14.8
2016-10-01,14.7
2017-01-01,14.2
2017-04-01,15.0
2017-07-01,16.0
2017-10-01,17.8
2018-01-01,18.1
2018-04-01,21.5
2018-07-01,26.3
2018-10-01,22.4
2019-01-01,23.1
2019-04-01,21.2
2019-07-01,25.1
2019-10-01,22.9
2020-01-01,22.2
2020-04-01,23.9
2020-07-01,23.9
2020-10-01,24.3
2021-01-01,23.4
2021-04-01,21.2
2021-07-01,19.5
2021-10-01,18.4
2022-01-01,16.8
2022-04-01,18.0
2022-07-01,17.7
2022-10-01,17.9
2023-01-01,17.9
2023-04-01,18.8
2023-07-01,20.0
2023-10-01,30.7
2024-01-01,24.9
2024-04-01,21.3
2024-07-01,19.6
2024-10-01,18.5
2025-01-01,18.4
