Tarih,TP_BISTOPKREDI_Q5R3
2000-01-01,79.5
2000-04-01,79.0
2000-07-01,77.3
2000-10-01,79.2
2001-01-01,76.7
2001-04-01,77.1
2001-07-01,80.4
2001-10-01,78.9
2002-01-01,79.3
2002-04-01,85.1
2002-07-01,83.1
2002-10-01,84.6
2003-01-01,82.9
2003-04-01,82.4
2003-07-01,82.6
2003-10-01,83.9
2004-01-01,81.3
2004-04-01,78.6
2004-07-01,77.9
2004-10-01,82.2
2005-01-01,79.8
2005-04-01,77.0
2005-07-01,76.7
2005-10-01,76.7
2006-01-01,79.1
2006-04-01,82.4
2006-07-01,81.7
2006-10-01,83.2
2007-01-01,83.5
2007-04-01,84.3
2007-07-01,87.4
2007-10-01,89.7
2008-01-01,93.2
2008-04-01,91.9
2008-07-01,87.0
2008-10-01,87.9
2009-01-01,87.2
2009-04-01,93.2
2009-07-01,97.0
2009-10-01,95.0
2010-01-01,90.5
2010-04-01,87.1
2010-07-01,92.5
2010-10-01,91.4
2011-01-01,92.9
2011-04-01,92.2
2011-07-01,88.5
2011-10-01,87.1
2012-01-01,88.5
2012-04-01,87.3
2012-07-01,90.6
2012-10-01,90.1
2013-01-01,87.6
2013-04-01,88.0
2013-07-01,90.1
2013-10-01,89.8
2014-01-01,90.2
2014-04-01,89.8
2014-07-01,85.5
2014-10-01,84.5
2015-01-01,83.4
2015-04-01,87.0
2015-07-01,88.6
2015-10-01,89.0
2016-01-01,92.5
2016-04-01,92.6
2016-07-01,93.1
2016-10-01,88.8
2017-01-01,91.0
2017-04-01,93.9
2017-07-01,95.0
2017-10-01,95.1
2018-01-01,95.1
2018-04-01,92.0
2018-07-01,91.4
2018-10-01,91.2
2019-01-01,92.1
2019-04-01,93.7
2019-07-01,92.6
2019-10-01,94.0
2020-01-01,95.0
2020-04-01,102.2
2020-07-01,104.7
2020-10-01,107.8
2021-01-01,104.6
2021-04-01,101.6
2021-07-01,98.6
2021-10-01,97.1
2022-01-01,95.7
2022-04-01,92.0
2022-07-01,89.7
2022-10-01,94.5
2023-01-01,95.0
2023-04-01,93.2
2023-07-01,90.6
2023-10-01,91.9
2024-01-01,89.8
2024-04-01,89.1
2024-07-01,91.5
2024-10-01,86.7
2025-01-01,88.7
