Tarih,TP_BISTOPKREDI_QHU3
2000-01-01,49.2
2000-04-01,51.2
2000-07-01,52.5
2000-10-01,53.6
2001-01-01,54.8
2001-04-01,53.1
2001-07-01,54.0
2001-10-01,53.7
2002-01-01,51.8
2002-04-01,52.8
2002-07-01,51.7
2002-10-01,49.7
2003-01-01,50.4
2003-04-01,53.2
2003-07-01,51.3
2003-10-01,54.9
2004-01-01,54.5
2004-04-01,56.6
2004-07-01,56.3
2004-10-01,57.4
2005-01-01,59.7
2005-04-01,62.4
2005-07-01,63.5
2005-10-01,64.6
2006-01-01,64.1
2006-04-01,68.5
2006-07-01,67.8
2006-10-01,67.4
2007-01-01,67.1
2007-04-01,70.8
2007-07-01,73.1
2007-10-01,78.6
2008-01-01,78.6
2008-04-01,74.5
2008-07-01,77.8
2008-10-01,81.0
2009-01-01,94.9
2009-04-01,88.7
2009-07-01,87.5
2009-10-01,91.5
2010-01-01,90.7
2010-04-01,94.3
2010-07-01,88.4
2010-10-01,86.6
2011-01-01,83.0
2011-04-01,82.7
2011-07-01,86.1
2011-10-01,88.7
2012-01-01,86.3
2012-04-01,86.1
2012-07-01,82.6
2012-10-01,84.1
2013-01-01,86.8
2013-04-01,84.7
2013-07-01,82.4
2013-10-01,80.0
2014-01-01,79.7
2014-04-01,80.1
2014-07-01,79.5
2014-10-01,79.3
2015-01-01,76.2
2015-04-01,77.4
2015-07-01,74.0
2015-10-01,73.8
2016-01-01,73.2
2016-04-01,74.3
2016-07-01,69.8
2016-10-01,69.9
2017-01-01,68.6
2017-04-01,67.4
2017-07-01,66.7
2017-10-01,65.1
2018-01-01,64.5
2018-04-01,67.3
2018-07-01,65.6
2018-10-01,64.5
2019-01-01,63.8
2019-04-01,64.4
2019-07-01,62.7
2019-10-01,64.0
2020-01-01,67.0
2020-04-01,68.0
2020-07-01,69.7
2020-10-01,70.5
2021-01-01,76.0
2021-04-01,74.1
2021-07-01,77.7
2021-10-01,81.1
2022-01-01,80.9
2022-04-01,83.7
2022-07-01,89.3
2022-10-01,82.8
2023-01-01,79.1
2023-04-01,75.9
2023-07-01,75.6
2023-10-01,73.8
2024-01-01,73.7
2024-04-01,74.2
2024-07-01,73.1
2024-10-01,72.8
2025-01-01,69.8
