Tarih,TP_BISTOPKREDI_QNO3
2000-01-01,107.0
2000-04-01,106.2
2000-07-01,109.8
2000-10-01,103.9
2001-01-01,103.9
2001-04-01,106.2
2001-07-01,104.1
2001-10-01,107.7
2002-01-01,111.4
2002-04-01,111.2
2002-07-01,111.9
2002-10-01,111.4
2003-01-01,113.7
2003-04-01,116.5
2003-07-01,113.5
2003-10-01,109.8
2004-01-01,113.2
2004-04-01,115.4
2004-07-01,115.9
2004-10-01,113.9
2005-01-01,113.6
2005-04-01,113.3
2005-07-01,111.6
2005-10-01,112.3
2006-01-01,112.2
2006-04-01,112.3
2006-07-01,113.3
2006-10-01,112.6
2007-01-01,118.0
2007-04-01,123.3
2007-07-01,123.1
2007-10-01,127.2
2008-01-01,132.7
2008-04-01,134.6
2008-07-01,137.4
2008-10-01,143.6
2009-01-01,145.9
2009-04-01,148.8
2009-07-01,146.4
2009-10-01,143.1
2010-01-01,141.8
2010-04-01,144.6
2010-07-01,143.9
2010-10-01,143.0
2011-01-01,143.1
2011-04-01,141.1
2011-07-01,138.3
2011-10-01,136.2
2012-01-01,145.4
2012-04-01,143.5
2012-07-01,142.6
2012-10-01,141.8
2013-01-01,141.2
2013-04-01,141.2
2013-07-01,139.0
2013-10-01,136.7
2014-01-01,136.8
2014-04-01,136.8
2014-07-01,137.3
2014-10-01,139.0
2015-01-01,143.6
2015-04-01,146.3
2015-07-01,150.1
2015-10-01,153.4
2016-01-01,153.6
2016-04-01,154.7
2016-07-01,154.8
2016-10-01,154.4
2017-01-01,150.7
2017-04-01,148.4
2017-07-01,144.9
2017-10-01,142.6
2018-01-01,140.5
2018-04-01,138.3
2018-07-01,134.8
2018-10-01,132.7
2019-01-01,132.6
2019-04-01,136.7
2019-07-01,140.2
2019-10-01,142.5
2020-01-01,148.0
2020-04-01,156.2
2020-07-01,160.6
2020-10-01,164.0
2021-01-01,165.6
2021-04-01,161.5
2021-07-01,155.0
2021-10-01,143.9
2022-01-01,137.0
2022-04-01,132.1
2022-07-01,124.6
2022-10-01,125.8
2023-01-01,129.8
2023-04-01,134.0
2023-07-01,142.2
2023-10-01,144.2
2024-01-01,145.6
2024-04-01,144.6
2024-07-01,143.6
2024-10-01,144.3
2025-01-01,140.7
