Tarih,TP_BISTOPKREDI_QRU3
2000-01-01,22.6
2000-04-01,21.4
2000-07-01,21.7
2000-10-01,23.0
2001-01-01,21.4
2001-04-01,22.2
2001-07-01,23.6
2001-10-01,25.1
2002-01-01,25.0
2002-04-01,26.9
2002-07-01,27.4
2002-10-01,28.3
2003-01-01,29.8
2003-04-01,30.3
2003-07-01,32.1
2003-10-01,32.6
2004-01-01,34.8
2004-04-01,34.3
2004-07-01,33.8
2004-10-01,35.0
2005-01-01,31.7
2005-04-01,31.1
2005-07-01,34.1
2005-10-01,38.8
2006-01-01,37.8
2006-04-01,38.1
2006-07-01,37.2
2006-10-01,40.0
2007-01-01,40.8
2007-04-01,47.4
2007-07-01,49.7
2007-10-01,49.3
2008-01-01,50.8
2008-04-01,50.4
2008-07-01,50.6
2008-10-01,54.3
2009-01-01,59.5
2009-04-01,56.7
2009-07-01,59.1
2009-10-01,59.6
2010-01-01,55.5
2010-04-01,55.0
2010-07-01,54.4
2010-10-01,52.8
2011-01-01,50.0
2011-04-01,49.5
2011-07-01,51.7
2011-10-01,52.1
2012-01-01,51.3
2012-04-01,53.5
2012-07-01,54.8
2012-10-01,55.7
2013-01-01,57.5
2013-04-01,60.5
2013-07-01,63.3
2013-10-01,65.2
2014-01-01,68.0
2014-04-01,69.5
2014-07-01,72.8
2014-10-01,80.9
2015-01-01,82.1
2015-04-01,80.4
2015-07-01,85.7
2015-10-01,88.0
2016-01-01,87.0
2016-04-01,84.7
2016-07-01,84.7
2016-10-01,84.0
2017-01-01,81.4
2017-04-01,82.3
2017-07-01,82.8
2017-10-01,83.0
2018-01-01,81.8
2018-04-01,82.1
2018-07-01,81.3
2018-10-01,80.9
2019-01-01,78.4
2019-04-01,76.9
2019-07-01,78.4
2019-10-01,79.6
2020-01-01,85.6
2020-04-01,87.5
2020-07-01,92.6
2020-10-01,93.0
2021-01-01,90.3
2021-04-01,85.0
2021-07-01,82.5
2021-10-01,78.4
2022-01-01,77.1
2022-04-01,68.0
2022-07-01,68.5
2022-10-01,72.1
2023-01-01,74.5
2023-04-01,75.4
2023-07-01,76.2
2023-10-01,76.2
2024-01-01,75.6
2024-04-01,74.7
2024-07-01,76.7
2024-10-01,76.7
2025-01-01,74.6
