Tarih,TP_SEKBIL5001_78
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,1311932.4
2010-01-01,1616903.8
2011-01-01,2156660.3
2012-01-01,2428804.0
2013-01-01,2741556.6
2014-01-01,3457158.6
2015-01-01,4696648.1
2016-01-01,5475654.6
2017-01-01,7009575.0
2018-01-01,18200425.5
2019-01-01,25770118.3
2020-01-01,31415615.3
2021-01-01,46485330.6
2022-01-01,84137704.9
2023-01-01,172528887.4
