Tarih,TP_ISTIRAKBS_A10
2023-09-01,70384670.0
2023-10-01,69350396.0
2023-11-01,70693958.0
2023-12-01,79951225.0
2024-01-01,83509184.0
2024-02-01,86885930.0
2024-03-01,90512311.0
2024-04-01,93759534.0
2024-05-01,95494392.0
2024-06-01,107702290.0
2024-07-01,110976520.0
2024-08-01,111983142.0
2024-09-01,123071912.0
2024-10-01,123980851.0
2024-11-01,127127632.0
2024-12-01,151570731.0
2025-01-01,154092779.0
2025-02-01,155432133.0
2025-03-01,174513236.0
2025-04-01,175784940.0
2025-05-01,178088690.0
2025-06-01,202671528.0
2025-07-01,208007159.0
2025-08-01,210289501.0
