Tarih,TP_GY4_N2_MA
2015-06-01,120.0
2015-07-01,112.3
2015-08-01,116.9
2015-09-01,106.9
2015-10-01,117.6
2015-11-01,121.1
2015-12-01,122.3
2016-01-01,120.0
2016-02-01,120.8
2016-03-01,118.7
2016-04-01,113.6
2016-05-01,110.0
2016-06-01,113.4
2016-07-01,119.0
2016-08-01,119.1
2016-09-01,125.7
2016-10-01,124.3
2016-11-01,122.2
2016-12-01,119.7
2017-01-01,112.8
2017-02-01,117.7
2017-03-01,111.7
2017-04-01,108.8
2017-05-01,104.5
2017-06-01,111.4
2017-07-01,114.1
2017-08-01,117.8
2017-09-01,123.2
2017-10-01,129.0
2017-11-01,127.2
2017-12-01,119.5
2018-01-01,119.4
2018-02-01,120.1
2018-03-01,115.6
2018-04-01,114.9
2018-05-01,114.9
2018-06-01,108.3
2018-07-01,114.0
2018-08-01,106.4
2018-09-01,102.9
2018-10-01,101.8
2018-11-01,109.7
2018-12-01,115.1
2019-01-01,113.6
2019-02-01,109.5
2019-03-01,104.8
2019-04-01,108.5
2019-05-01,103.3
2019-06-01,107.2
2019-07-01,109.7
2019-08-01,113.1
2019-09-01,114.0
2019-10-01,118.8
2019-11-01,121.2
2019-12-01,127.3
2020-01-01,123.0
2020-02-01,120.1
2020-03-01,101.7
2020-04-01,47.7
2020-05-01,82.1
2020-06-01,120.4
2020-07-01,128.3
2020-08-01,129.4
2020-09-01,122.9
2020-10-01,128.5
2020-11-01,118.9
2020-12-01,126.4
2021-01-01,122.0
2021-02-01,116.7
2021-03-01,120.2
2021-04-01,114.7
2021-05-01,115.8
2021-06-01,129.5
2021-07-01,127.7
2021-08-01,128.5
2021-09-01,130.3
2021-10-01,121.3
2021-11-01,123.8
2021-12-01,126.8
2022-01-01,123.7
2022-02-01,121.9
2022-03-01,117.3
2022-04-01,116.0
2022-05-01,117.0
2022-06-01,114.0
2022-07-01,111.6
2022-08-01,114.5
2022-09-01,114.5
2022-10-01,117.3
2022-11-01,117.0
2022-12-01,116.3
2023-01-01,116.1
2023-02-01,109.6
2023-03-01,114.0
2023-04-01,116.3
2023-05-01,120.0
2023-06-01,120.9
2023-07-01,120.8
2023-08-01,116.0
2023-09-01,115.8
2023-10-01,116.4
2023-11-01,117.5
2023-12-01,116.3
2024-01-01,113.9
2024-02-01,107.3
2024-03-01,113.6
2024-04-01,115.5
2024-05-01,113.8
2024-06-01,113.0
2024-07-01,113.7
2024-08-01,112.7
2024-09-01,112.3
2024-10-01,120.4
2024-11-01,120.4
2024-12-01,121.3
2025-01-01,121.8
2025-02-01,113.7
2025-03-01,116.3
2025-04-01,111.4
2025-05-01,110.8
2025-06-01,111.4
2025-07-01,115.0
2025-08-01,114.5
2025-09-01,113.9
