Tarih,TP_PB_V11
2000-01-01,438626.0
2000-02-01,454625.0
2000-03-01,460268.0
2000-04-01,457004.0
2000-05-01,546817.0
2000-06-01,531981.0
2000-07-01,537663.0
2000-08-01,609571.0
2000-09-01,587900.0
2000-10-01,790592.0
2000-11-01,796044.0
2000-12-01,856875.0
2001-01-01,830417.0
2001-02-01,1063653.0
2001-03-01,901152.0
2001-04-01,1109026.0
2001-05-01,854667.0
2001-06-01,937875.0
2001-07-01,1177152.0
2001-08-01,1224725.0
2001-09-01,1360842.0
2001-10-01,1143578.0
2001-11-01,1308606.0
2001-12-01,1285630.0
2002-01-01,1182124.0
2002-02-01,1226821.0
2002-03-01,1104533.0
2002-04-01,1141371.0
2002-05-01,1309216.0
2002-06-01,1430973.0
2002-07-01,1501977.0
2002-08-01,1349116.0
2002-09-01,1409735.0
2002-10-01,1664028.0
2002-11-01,1346502.0
2002-12-01,1526768.0
2003-01-01,1428090.0
2003-02-01,1438490.0
2003-03-01,1790035.0
2003-04-01,1759499.0
2003-05-01,1771262.0
2003-06-01,1526060.0
2003-07-01,1580654.0
2003-08-01,1523098.0
2003-09-01,1453046.0
2003-10-01,1746998.0
2003-11-01,1551558.0
2003-12-01,1507870.0
2004-01-01,1377094.0
2004-02-01,1254371.0
2004-03-01,1331517.0
2004-04-01,1797682.0
2004-05-01,1776899.0
2004-06-01,1707664.0
2004-07-01,1324520.0
2004-08-01,1512333.0
2004-09-01,1530211.0
2004-10-01,1215327.0
2004-11-01,1242573.0
2004-12-01,1109408.0
2005-01-01,1376341.0
2005-02-01,1283675.0
2005-03-01,1312272.0
2005-04-01,1518976.0
2005-05-01,1475071.0
2005-06-01,1446689.0
2005-07-01,1481159.0
2005-08-01,1408193.0
2005-09-01,1555372.0
2005-10-01,1467148.0
2005-11-01,1579740.0
2005-12-01,1309798.0
2006-01-01,1299770.0
2006-02-01,1315626.0
2006-03-01,1749182.0
2006-04-01,1950864.0
2006-05-01,2243889.0
