Tarih,TP_PB_T12
2021-09-01,6926835.0
2021-10-01,6882166.0
2021-11-01,9496655.0
2021-12-01,8964754.0
2022-01-01,9734316.0
2022-02-01,13052522.0
2022-03-01,12062818.0
2022-04-01,10212715.0
2022-05-01,12584428.0
2022-06-01,12063934.0
2022-07-01,18149193.0
2022-08-01,15546689.0
2022-09-01,13166933.0
2022-10-01,15655527.0
2022-11-01,12237519.0
2022-12-01,11516356.0
2023-01-01,24750343.0
2023-02-01,10548002.0
2023-03-01,14205315.0
2023-04-01,11851589.0
2023-05-01,15370896.0
2023-06-01,16939109.0
2023-07-01,14437856.0
2023-08-01,22415866.0
2023-09-01,20811796.0
2023-10-01,25746947.0
2023-11-01,25704204.0
2023-12-01,22248708.0
2024-01-01,24459356.0
2024-02-01,27632323.0
2024-03-01,20772990.0
2024-04-01,59288903.0
2024-05-01,16807173.0
2024-06-01,20454941.0
2024-07-01,18628662.0
2024-08-01,23606765.0
2024-09-01,24418016.0
2024-10-01,32276420.0
2024-11-01,24996588.0
2024-12-01,20157738.0
2025-01-01,20544137.0
2025-02-01,28496306.0
2025-03-01,28302818.0
2025-04-01,35695881.0
2025-05-01,32310117.0
2025-06-01,36800818.0
2025-07-01,28160903.0
2025-08-01,25398461.0
