Tarih,TP_PB_T38
2000-01-01,420.0
2000-02-01,440.0
2000-03-01,440.0
2000-04-01,440.0
2000-05-01,437.0
2000-06-01,1987.0
2000-07-01,1987.0
2000-08-01,1987.0
2000-09-01,1987.0
2000-10-01,1986.0
2000-11-01,1986.0
2000-12-01,2746.0
2001-01-01,2746.0
2001-02-01,2746.0
2001-03-01,2776.0
2001-04-01,2776.0
2001-05-01,2774.0
2001-06-01,2770.0
2001-07-01,2847.0
2001-08-01,2859.0
2001-09-01,2858.0
2001-10-01,2858.0
2001-11-01,2858.0
2001-12-01,2857.0
2002-01-01,2922.0
2002-02-01,2902.0
2002-03-01,2837.0
2002-04-01,2837.0
2002-05-01,2837.0
2002-06-01,2224.0
2002-07-01,4887.0
2002-08-01,5491.0
2002-09-01,5668.0
2002-10-01,5858.0
2002-11-01,5896.0
2002-12-01,14127.0
2003-01-01,14906.0
2003-02-01,15377.0
2003-03-01,14971.0
2003-04-01,15212.0
2003-05-01,15118.0
2003-06-01,13767.0
2003-07-01,13688.0
2003-08-01,13988.0
2003-09-01,13946.0
2003-10-01,14053.0
2003-11-01,14229.0
2003-12-01,9885.0
2004-01-01,9794.0
2004-02-01,8647.0
2004-03-01,8952.0
2004-04-01,9368.0
2004-05-01,9375.0
2004-06-01,10411.0
2004-07-01,10272.0
2004-08-01,10176.0
2004-09-01,9070.0
2004-10-01,10206.0
2004-11-01,10295.0
2004-12-01,10326.0
2005-01-01,10325.0
2005-02-01,10281.0
2005-03-01,9830.0
2005-04-01,9825.0
2005-05-01,9818.0
2005-06-01,9765.0
2005-07-01,9445.0
2005-08-01,9444.0
2005-09-01,7354.0
2005-10-01,7371.0
2005-11-01,7369.0
2005-12-01,17899.0
2006-01-01,17876.0
2006-02-01,19383.0
2006-03-01,19261.0
2006-04-01,19238.0
2006-05-01,19232.0
2006-06-01,22542.0
2006-07-01,22522.0
2006-08-01,22505.0
2006-09-01,22488.0
2006-10-01,22482.0
2006-11-01,22610.0
2006-12-01,25747.0
2007-01-01,26310.0
2007-02-01,26295.0
2007-03-01,26053.0
2007-04-01,15511.0
2007-05-01,15496.0
2007-06-01,15031.0
2007-07-01,16077.0
2007-08-01,16063.0
2007-09-01,15822.0
2007-10-01,15808.0
2007-11-01,15794.0
2007-12-01,15463.0
2008-01-01,14378.0
2008-02-01,14365.0
2008-03-01,14433.0
2008-04-01,13342.0
2008-05-01,13319.0
2008-06-01,16174.0
2008-07-01,17616.0
2008-08-01,17595.0
2008-09-01,26924.0
2008-10-01,26905.0
2008-11-01,26884.0
2008-12-01,25940.0
