Tarih,TP_TIG04
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,1949.0
2005-02-01,1941.0
2005-03-01,1947.0
2005-04-01,1992.0
2005-05-01,2001.0
2005-06-01,2003.0
2005-07-01,1945.0
2005-08-01,1939.0
2005-09-01,1940.0
2005-10-01,1997.0
2005-11-01,2008.0
2005-12-01,1993.0
2006-01-01,1967.0
2006-02-01,1946.0
2006-03-01,1928.0
2006-04-01,1850.0
2006-05-01,1855.0
2006-06-01,1806.0
2006-07-01,1967.0
2006-08-01,1913.0
2006-09-01,1859.0
2006-10-01,1857.0
2006-11-01,1857.0
2006-12-01,1876.0
2007-01-01,1864.0
2007-02-01,1842.0
2007-03-01,1859.0
2007-04-01,1931.0
2007-05-01,1920.0
2007-06-01,1927.0
2007-07-01,1965.0
2007-08-01,1937.0
2007-09-01,1993.0
2007-10-01,2002.0
2007-11-01,2027.0
2007-12-01,2027.0
2008-01-01,2055.0
2008-02-01,2050.0
2008-03-01,2069.0
2008-04-01,2023.0
2008-05-01,2062.0
2008-06-01,2160.0
2008-07-01,2171.0
2008-08-01,2256.0
2008-09-01,2255.0
2008-10-01,2359.0
2008-11-01,2403.0
2008-12-01,2879.0
2009-01-01,2931.0
2009-02-01,3012.0
2009-03-01,3093.0
2009-04-01,3145.0
2009-05-01,3162.0
2009-06-01,3126.0
2009-07-01,3144.0
2009-08-01,3132.0
2009-09-01,3105.0
2009-10-01,2946.0
2009-11-01,2916.0
2009-12-01,2924.0
2010-01-01,2927.0
2010-02-01,2950.0
2010-03-01,2861.0
2010-04-01,2769.0
2010-05-01,2707.0
2010-06-01,2669.0
2010-07-01,2698.0
2010-08-01,2686.0
2010-09-01,2671.0
2010-10-01,2595.0
2010-11-01,2478.0
2010-12-01,2477.0
2011-01-01,2440.0
2011-02-01,2396.0
2011-03-01,2357.0
2011-04-01,2370.0
2011-05-01,2338.0
2011-06-01,2340.0
2011-07-01,2332.0
2011-08-01,2243.0
2011-09-01,2214.0
2011-10-01,2115.0
2011-11-01,2168.0
2011-12-01,2107.0
2012-01-01,2141.0
2012-02-01,2147.0
2012-03-01,2139.0
2012-04-01,2090.0
2012-05-01,2089.0
2012-06-01,2079.0
2012-07-01,2059.0
2012-08-01,2138.0
2012-09-01,2160.0
2012-10-01,2218.0
2012-11-01,2236.0
2012-12-01,2293.0
2013-01-01,2289.0
2013-02-01,2308.0
2013-03-01,2318.0
2013-04-01,2350.0
2013-05-01,2348.0
2013-06-01,2358.0
2013-07-01,2406.0
2013-08-01,2409.0
2013-09-01,2418.0
2013-10-01,2457.0
2013-11-01,2457.0
2013-12-01,2445.0
2014-01-01,2581.0
