Tarih,TP_TIG03
2023-10-01,31772.0
2023-11-01,31702.0
2023-12-01,32298.0
2024-01-01,32020.0
2024-02-01,32750.0
2024-03-01,32710.0
2024-04-01,32463.0
2024-05-01,32975.0
2024-06-01,32393.0
2024-07-01,32366.0
2024-08-01,32664.0
2024-09-01,32625.0
2024-10-01,32706.0
2024-11-01,32685.0
2024-12-01,32672.0
2025-01-01,32463.0
2025-02-01,32332.0
2025-03-01,32790.0
2025-04-01,32472.0
2025-05-01,32593.0
2025-06-01,32601.0
2025-07-01,32621.0
2025-08-01,32829.0
