Tarih,TP_TIG02
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,21215.0
2005-02-01,21120.0
2005-03-01,21210.0
2005-04-01,21270.0
2005-05-01,21271.0
2005-06-01,21329.0
2005-07-01,21257.0
2005-08-01,21352.0
2005-09-01,21409.0
2005-10-01,21484.0
2005-11-01,21531.0
2005-12-01,21473.0
2006-01-01,21263.0
2006-02-01,21306.0
2006-03-01,21319.0
2006-04-01,21437.0
2006-05-01,21518.0
2006-06-01,21535.0
2006-07-01,21722.0
2006-08-01,21744.0
2006-09-01,21796.0
2006-10-01,21753.0
2006-11-01,21937.0
2006-12-01,22027.0
2007-01-01,21809.0
2007-02-01,21950.0
2007-03-01,21897.0
2007-04-01,21849.0
2007-05-01,21981.0
2007-06-01,21981.0
2007-07-01,22017.0
2007-08-01,22128.0
2007-09-01,22038.0
2007-10-01,21926.0
2007-11-01,21883.0
2007-12-01,21913.0
2008-01-01,22201.0
2008-02-01,22201.0
2008-03-01,22347.0
2008-04-01,22513.0
2008-05-01,22484.0
2008-06-01,22634.0
2008-07-01,22846.0
2008-08-01,22785.0
2008-09-01,22809.0
2008-10-01,22946.0
2008-11-01,22736.0
2008-12-01,23083.0
2009-01-01,23223.0
2009-02-01,23187.0
2009-03-01,23174.0
2009-04-01,23169.0
2009-05-01,23305.0
2009-06-01,23479.0
2009-07-01,23688.0
2009-08-01,23854.0
2009-09-01,23948.0
2009-10-01,23862.0
2009-11-01,23998.0
2009-12-01,24172.0
2010-01-01,24241.0
2010-02-01,24442.0
2010-03-01,24545.0
2010-04-01,24414.0
2010-05-01,24421.0
2010-06-01,24469.0
2010-07-01,24511.0
2010-08-01,24523.0
2010-09-01,24540.0
2010-10-01,24562.0
2010-11-01,24714.0
2010-12-01,24879.0
2011-01-01,25205.0
2011-02-01,25408.0
2011-03-01,25367.0
2011-04-01,25391.0
2011-05-01,25338.0
2011-06-01,25365.0
2011-07-01,25668.0
2011-08-01,25576.0
2011-09-01,25587.0
2011-10-01,25524.0
2011-11-01,25461.0
2011-12-01,25447.0
2012-01-01,25432.0
2012-02-01,25363.0
2012-03-01,25534.0
2012-04-01,25659.0
2012-05-01,25759.0
2012-06-01,25790.0
2012-07-01,25682.0
2012-08-01,25810.0
2012-09-01,26000.0
2012-10-01,26363.0
2012-11-01,26542.0
2012-12-01,26643.0
2013-01-01,26770.0
2013-02-01,26908.0
2013-03-01,26882.0
2013-04-01,26836.0
2013-05-01,26825.0
2013-06-01,26766.0
2013-07-01,26697.0
2013-08-01,26774.0
2013-09-01,26855.0
2013-10-01,26937.0
2013-11-01,27045.0
2013-12-01,27185.0
2014-01-01,28015.0
