Tarih,TP_TIG05
2014-02-01,28615.0
2014-03-01,28256.0
2014-04-01,28275.0
2014-05-01,28448.0
2014-06-01,28057.0
2014-07-01,28479.0
2014-08-01,28746.0
2014-09-01,28138.0
2014-10-01,28333.0
2014-11-01,28490.0
2014-12-01,28288.0
2015-01-01,28225.0
2015-02-01,28408.0
2015-03-01,28331.0
2015-04-01,28285.0
2015-05-01,28394.0
2015-06-01,28099.0
2015-07-01,28294.0
2015-08-01,28371.0
2015-09-01,28295.0
2015-10-01,28137.0
2015-11-01,28281.0
2015-12-01,28347.0
2016-01-01,28205.0
2016-02-01,28546.0
2016-03-01,28554.0
2016-04-01,28233.0
2016-05-01,28265.0
2016-06-01,28342.0
2016-07-01,28400.0
2016-08-01,28213.0
2016-09-01,28374.0
2016-10-01,28110.0
2016-11-01,28097.0
2016-12-01,28148.0
2017-01-01,28451.0
2017-02-01,28331.0
2017-03-01,28631.0
2017-04-01,28418.0
2017-05-01,28213.0
2017-06-01,28616.0
2017-07-01,28285.0
2017-08-01,28274.0
2017-09-01,28447.0
2017-10-01,28290.0
2017-11-01,28332.0
2017-12-01,28446.0
2018-01-01,28439.0
2018-02-01,28576.0
2018-03-01,28591.0
2018-04-01,28456.0
2018-05-01,28364.0
2018-06-01,28491.0
2018-07-01,28210.0
2018-08-01,28401.0
2018-09-01,28293.0
2018-10-01,28506.0
2018-11-01,28572.0
2018-12-01,28545.0
2019-01-01,28900.0
2019-02-01,28675.0
2019-03-01,28327.0
2019-04-01,28886.0
2019-05-01,28664.0
2019-06-01,28859.0
2019-07-01,28983.0
2019-08-01,29133.0
2019-09-01,29176.0
2019-10-01,29342.0
2019-11-01,29263.0
2019-12-01,29366.0
2020-01-01,30097.0
2020-02-01,30182.0
2020-03-01,31933.0
2020-04-01,33315.0
2020-05-01,32807.0
2020-06-01,31934.0
2020-07-01,32184.0
2020-08-01,31775.0
2020-09-01,31741.0
2020-10-01,31850.0
2020-11-01,31971.0
2020-12-01,32137.0
2021-01-01,31360.0
2021-02-01,31512.0
2021-03-01,30831.0
2021-04-01,30703.0
2021-05-01,31343.0
2021-06-01,31582.0
2021-07-01,31207.0
2021-08-01,30976.0
2021-09-01,30607.0
2021-10-01,30540.0
2021-11-01,30810.0
2021-12-01,30442.0
2022-01-01,30427.0
2022-02-01,30786.0
2022-03-01,30537.0
2022-04-01,30265.0
2022-05-01,30045.0
2022-06-01,30284.0
2022-07-01,30826.0
2022-08-01,30478.0
2022-09-01,30438.0
2022-10-01,30351.0
2022-11-01,29978.0
2022-12-01,30007.0
2023-01-01,30090.0
2023-02-01,30561.0
2023-03-01,30457.0
2023-04-01,30272.0
2023-05-01,30299.0
2023-06-01,30764.0
2023-07-01,30438.0
2023-08-01,30599.0
2023-09-01,30723.0
2023-10-01,30853.0
2023-11-01,30818.0
2023-12-01,30260.0
2024-01-01,30488.0
2024-02-01,29920.0
2024-03-01,29941.0
2024-04-01,30335.0
2024-05-01,29855.0
2024-06-01,30286.0
2024-07-01,30367.0
2024-08-01,30276.0
2024-09-01,30304.0
2024-10-01,30202.0
2024-11-01,30361.0
2024-12-01,30428.0
2025-01-01,30691.0
2025-02-01,30973.0
2025-03-01,30600.0
2025-04-01,30765.0
2025-05-01,30745.0
2025-06-01,30737.0
2025-07-01,30918.0
2025-08-01,30584.0
