Tarih,TP_GY7_N2
2015-07-01,116.8
2015-08-01,117.6
2015-09-01,114.8
2015-10-01,116.7
2015-11-01,107.3
2015-12-01,107.4
2016-01-01,109.5
2016-02-01,120.4
2016-03-01,130.0
2016-04-01,132.1
2016-05-01,124.3
2016-06-01,122.8
2016-07-01,120.5
2016-08-01,120.4
2016-09-01,124.2
2016-10-01,109.7
2016-11-01,107.4
2016-12-01,102.4
2017-01-01,111.8
2017-02-01,128.3
2017-03-01,125.4
2017-04-01,129.3
2017-05-01,109.6
2017-06-01,116.3
2017-07-01,116.7
2017-08-01,127.4
2017-09-01,121.8
2017-10-01,118.4
2017-11-01,114.2
2017-12-01,99.4
2018-01-01,118.1
2018-02-01,130.9
2018-03-01,136.1
2018-04-01,129.9
2018-05-01,124.2
2018-06-01,115.0
2018-07-01,112.2
2018-08-01,106.9
2018-09-01,109.1
2018-10-01,100.4
2018-11-01,105.4
2018-12-01,105.9
2019-01-01,110.7
2019-02-01,119.2
2019-03-01,120.3
2019-04-01,129.5
2019-05-01,118.2
2019-06-01,116.1
2019-07-01,112.8
2019-08-01,118.8
2019-09-01,117.0
2019-10-01,116.1
2019-11-01,108.9
2019-12-01,111.5
2020-01-01,117.5
2020-02-01,126.6
2020-03-01,110.1
2020-04-01,50.6
2020-05-01,85.4
2020-06-01,113.5
2020-07-01,120.4
2020-08-01,120.2
2020-09-01,123.8
2020-10-01,118.5
2020-11-01,104.7
2020-12-01,113.5
2021-01-01,112.9
2021-02-01,124.5
2021-03-01,127.6
2021-04-01,116.9
2021-05-01,121.1
2021-06-01,131.2
2021-07-01,134.2
2021-08-01,129.6
2021-09-01,123.9
2021-10-01,120.5
2021-11-01,112.7
2021-12-01,116.6
2022-01-01,117.9
2022-02-01,126.4
2022-03-01,124.1
2022-04-01,123.4
2022-05-01,120.6
2022-06-01,118.7
2022-07-01,114.9
2022-08-01,111.7
2022-09-01,110.1
2022-10-01,105.4
2022-11-01,102.9
2022-12-01,100.0
2023-01-01,111.9
2023-02-01,109.8
2023-03-01,119.0
2023-04-01,123.6
2023-05-01,124.6
2023-06-01,122.2
2023-07-01,120.0
2023-08-01,110.7
2023-09-01,109.1
2023-10-01,107.9
2023-11-01,100.3
2023-12-01,101.1
2024-01-01,106.3
2024-02-01,112.2
2024-03-01,121.3
2024-04-01,121.7
2024-05-01,117.7
2024-06-01,116.0
2024-07-01,115.0
2024-08-01,107.1
2024-09-01,111.7
2024-10-01,111.1
2024-11-01,106.4
2024-12-01,108.2
2025-01-01,117.5
2025-02-01,121.9
2025-03-01,117.7
2025-04-01,118.2
2025-05-01,113.7
2025-06-01,112.5
2025-07-01,112.7
2025-08-01,112.3
2025-09-01,112.2
