Tarih,TP_GY4_N2
2015-07-01,113.5
2015-08-01,116.1
2015-09-01,102.4
2015-10-01,106.0
2015-11-01,105.5
2015-12-01,100.9
2016-01-01,111.7
2016-02-01,127.7
2016-03-01,136.8
2016-04-01,130.8
2016-05-01,123.6
2016-06-01,118.4
2016-07-01,120.1
2016-08-01,118.3
2016-09-01,121.4
2016-10-01,113.0
2016-11-01,106.9
2016-12-01,98.6
2017-01-01,104.3
2017-02-01,124.7
2017-03-01,129.5
2017-04-01,125.2
2017-05-01,116.9
2017-06-01,116.6
2017-07-01,115.8
2017-08-01,118.0
2017-09-01,120.0
2017-10-01,119.0
2017-11-01,112.6
2017-12-01,97.7
2018-01-01,110.6
2018-02-01,126.7
2018-03-01,131.7
2018-04-01,130.4
2018-05-01,125.3
2018-06-01,110.8
2018-07-01,114.4
2018-08-01,104.5
2018-09-01,98.0
2018-10-01,89.8
2018-11-01,95.7
2018-12-01,93.7
2019-01-01,106.5
2019-02-01,116.9
2019-03-01,121.9
2019-04-01,125.6
2019-05-01,115.0
2019-06-01,111.0
2019-07-01,111.5
2019-08-01,112.5
2019-09-01,109.9
2019-10-01,108.1
2019-11-01,108.2
2019-12-01,108.5
2020-01-01,116.9
2020-02-01,127.9
2020-03-01,114.6
2020-04-01,61.2
2020-05-01,89.9
2020-06-01,123.4
2020-07-01,131.5
2020-08-01,130.3
2020-09-01,119.3
2020-10-01,120.5
2020-11-01,107.1
2020-12-01,111.3
2021-01-01,117.1
2021-02-01,124.0
2021-03-01,130.9
2021-04-01,125.9
2021-05-01,125.0
2021-06-01,134.1
2021-07-01,132.9
2021-08-01,131.6
2021-09-01,128.3
2021-10-01,113.3
2021-11-01,111.9
2021-12-01,112.7
2022-01-01,118.6
2022-02-01,128.0
2022-03-01,125.9
2022-04-01,123.5
2022-05-01,123.0
2022-06-01,116.9
2022-07-01,114.7
2022-08-01,116.7
2022-09-01,112.2
2022-10-01,109.4
2022-11-01,105.5
2022-12-01,102.7
2023-01-01,111.4
2023-02-01,114.8
2023-03-01,122.7
2023-04-01,124.6
2023-05-01,127.7
2023-06-01,125.0
2023-07-01,124.8
2023-08-01,118.0
2023-09-01,113.2
2023-10-01,108.5
2023-11-01,106.2
2023-12-01,102.5
2024-01-01,108.6
2024-02-01,109.8
2024-03-01,121.6
2024-04-01,123.7
2024-05-01,121.5
2024-06-01,117.1
2024-07-01,117.9
2024-08-01,114.5
2024-09-01,109.5
2024-10-01,114.2
2024-11-01,110.8
2024-12-01,109.3
2025-01-01,117.9
2025-02-01,115.0
2025-03-01,124.0
2025-04-01,118.2
2025-05-01,117.1
2025-06-01,114.3
2025-07-01,119.2
2025-08-01,116.1
2025-09-01,110.7
