Tarih,TP_SEKBILTPN_Q
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,1237841.9
2010-01-01,1816908.4
2011-01-01,2350198.8
2012-01-01,2920846.7
2013-01-01,3991016.8
2014-01-01,4776604.0
2015-01-01,5684059.8
2016-01-01,6123402.8
2017-01-01,7600272.9
2018-01-01,7459567.1
2019-01-01,8678397.2
2020-01-01,14133556.6
2021-01-01,15357737.7
2022-01-01,24347375.8
2023-01-01,33144598.0
