Tarih,TP_SEKBILTPN_58
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,165001.8
2010-01-01,126415.9
2011-01-01,146519.3
2012-01-01,179951.9
2013-01-01,229232.6
2014-01-01,463518.3
2015-01-01,655748.7
2016-01-01,849854.8
2017-01-01,946879.8
2018-01-01,716797.4
2019-01-01,646459.4
2020-01-01,846692.8
2021-01-01,1012603.1
2022-01-01,1893098.9
2023-01-01,2752773.0
