Tarih,TP_SEKBILTPN_N
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,1881857.4
2010-01-01,2749445.2
2011-01-01,3785299.5
2012-01-01,4634251.8
2013-01-01,6287794.6
2014-01-01,9593584.6
2015-01-01,12788343.2
2016-01-01,15313171.0
2017-01-01,22032373.9
2018-01-01,21294558.7
2019-01-01,21775226.9
2020-01-01,35499995.7
2021-01-01,44122492.6
2022-01-01,74593017.4
2023-01-01,118547680.8
