Tarih,TP_KTFTUK,TP_KTFTUK
2000-01-07,2000-1,
2000-01-14,2000-2,
2000-01-21,2000-3,
2000-01-28,2000-4,
2000-02-04,2000-5,
2000-02-11,2000-6,
2000-02-18,2000-7,
2000-02-25,2000-8,
2000-03-03,2000-9,
2000-03-10,2000-10,
2000-03-17,2000-11,
2000-03-24,2000-12,
2000-03-31,2000-13,
2000-04-07,2000-14,
2000-04-14,2000-15,
2000-04-21,2000-16,
2000-04-28,2000-17,
2000-05-05,2000-18,
2000-05-12,2000-19,
2000-05-19,2000-20,
2000-05-26,2000-21,
2000-06-02,2000-22,
2000-06-09,2000-23,
2000-06-16,2000-24,
2000-06-23,2000-25,
2000-06-30,2000-26,
2000-07-07,2000-27,
2000-07-14,2000-28,
2000-07-21,2000-29,
2000-07-28,2000-30,
2000-08-04,2000-31,
2000-08-11,2000-32,
2000-08-18,2000-33,
2000-08-25,2000-34,
2000-09-01,2000-35,
2000-09-08,2000-36,
2000-09-15,2000-37,
2000-09-22,2000-38,
2000-09-29,2000-39,
2000-10-06,2000-40,
2000-10-13,2000-41,
2000-10-20,2000-42,
2000-10-27,2000-43,
2000-11-03,2000-44,
2000-11-10,2000-45,
2000-11-17,2000-46,
2000-11-24,2000-47,
2000-12-01,2000-48,
2000-12-08,2000-49,
2000-12-15,2000-50,
2000-12-22,2000-51,
2000-12-29,2000-52,
2001-01-05,2001-1,
2001-01-12,2001-2,
2001-01-19,2001-3,
2001-01-26,2001-4,
2001-02-02,2001-5,
2001-02-09,2001-6,
2001-02-16,2001-7,
2001-02-23,2001-8,
2001-03-02,2001-9,
2001-03-09,2001-10,
2001-03-16,2001-11,
2001-03-23,2001-12,
2001-03-30,2001-13,
2001-04-06,2001-14,
2001-04-13,2001-15,
2001-04-20,2001-16,
2001-04-27,2001-17,
2001-05-04,2001-18,
2001-05-11,2001-19,
2001-05-18,2001-20,
2001-05-25,2001-21,
2001-06-01,2001-22,
2001-06-08,2001-23,
2001-06-15,2001-24,
2001-06-22,2001-25,
2001-06-29,2001-26,
2001-07-06,2001-27,
2001-07-13,2001-28,
2001-07-20,2001-29,
2001-07-27,2001-30,
2001-08-03,2001-31,
2001-08-10,2001-32,
2001-08-17,2001-33,
2001-08-24,2001-34,
2001-08-31,2001-35,
2001-09-07,2001-36,
2001-09-14,2001-37,
2001-09-21,2001-38,
2001-09-28,2001-39,
2001-10-05,2001-40,
2001-10-12,2001-41,
2001-10-19,2001-42,
2001-10-26,2001-43,
2001-11-02,2001-44,
2001-11-09,2001-45,
2001-11-16,2001-46,
2001-11-23,2001-47,
2001-11-30,2001-48,
2001-12-07,2001-49,
2001-12-14,2001-50,
2001-12-21,2001-51,
2001-12-28,2001-52,
2002-01-04,2002-1,66.41
2002-01-11,2002-2,71.82
2002-01-18,2002-3,71.74
2002-01-25,2002-4,69.89
2002-02-01,2002-5,67.1
2002-02-08,2002-6,72.23
2002-02-15,2002-7,67.34
2002-02-22,2002-8,65.64
2002-03-01,2002-9,66.29
2002-03-08,2002-10,66.65
2002-03-15,2002-11,62.71
2002-03-22,2002-12,59.9
2002-03-29,2002-13,57.57
2002-04-05,2002-14,62.5
2002-04-12,2002-15,57.85
2002-04-19,2002-16,54.64
2002-04-26,2002-17,55.1
2002-05-03,2002-18,52.25
2002-05-10,2002-19,50.35
2002-05-17,2002-20,48.84
2002-05-24,2002-21,48.29
2002-05-31,2002-22,47.55
2002-06-07,2002-23,47.48
2002-06-14,2002-24,48.97
2002-06-21,2002-25,49.62
2002-06-28,2002-26,51.35
2002-07-05,2002-27,51.35
2002-07-12,2002-28,53.67
2002-07-19,2002-29,54.8
2002-07-26,2002-30,54.13
2002-08-02,2002-31,53.57
2002-08-09,2002-32,53.3
2002-08-16,2002-33,50.75
2002-08-23,2002-34,52.52
2002-08-30,2002-35,43.3
2002-09-06,2002-36,50.87
2002-09-13,2002-37,51.16
2002-09-20,2002-38,51.91
2002-09-27,2002-39,50.03
2002-10-04,2002-40,49.75
2002-10-11,2002-41,50.6
2002-10-18,2002-42,51.16
2002-10-25,2002-43,51.95
2002-11-01,2002-44,50.17
2002-11-08,2002-45,50.68
2002-11-15,2002-46,50.99
2002-11-22,2002-47,50.14
2002-11-29,2002-48,47.76
2002-12-06,2002-49,46.78
2002-12-13,2002-50,44.86
2002-12-20,2002-51,44.51
2002-12-27,2002-52,42.69
2003-01-03,2003-1,41.91
2003-01-10,2003-2,44.33
2003-01-17,2003-3,45.23
2003-01-24,2003-4,45.61
2003-01-31,2003-5,46.36
2003-02-07,2003-6,46.52
2003-02-14,2003-7,44.79
2003-02-21,2003-8,47.99
2003-02-28,2003-9,45.16
2003-03-07,2003-10,46.14
2003-03-14,2003-11,48.74
2003-03-21,2003-12,49.44
2003-03-28,2003-13,52.91
2003-04-04,2003-14,52.91
2003-04-11,2003-15,55.23
2003-04-18,2003-16,55.16
2003-04-25,2003-17,54.39
2003-05-02,2003-18,52.51
2003-05-09,2003-19,51.19
2003-05-16,2003-20,48.85
2003-05-23,2003-21,51.0
2003-05-30,2003-22,51.95
2003-06-06,2003-23,46.89
2003-06-13,2003-24,46.86
2003-06-20,2003-25,47.87
2003-06-27,2003-26,45.51
2003-07-04,2003-27,44.52
2003-07-11,2003-28,44.22
2003-07-18,2003-29,44.82
2003-07-25,2003-30,46.47
2003-08-01,2003-31,44.85
2003-08-08,2003-32,45.96
2003-08-15,2003-33,44.01
2003-08-22,2003-34,43.22
2003-08-29,2003-35,40.7
2003-09-05,2003-36,41.56
2003-09-12,2003-37,40.87
2003-09-19,2003-38,38.68
2003-09-26,2003-39,37.4
2003-10-03,2003-40,36.93
2003-10-10,2003-41,36.7
2003-10-17,2003-42,35.5
2003-10-24,2003-43,33.0
2003-10-31,2003-44,31.94
2003-11-07,2003-45,31.46
2003-11-14,2003-46,30.74
2003-11-21,2003-47,33.1
2003-11-28,2003-48,29.83
2003-12-05,2003-49,30.73
2003-12-12,2003-50,30.75
2003-12-19,2003-51,30.92
2003-12-26,2003-52,31.21
2004-01-02,2004-1,30.12
2004-01-09,2004-2,31.56
2004-01-16,2004-3,29.76
2004-01-23,2004-4,29.74
2004-01-30,2004-5,29.81
2004-02-06,2004-6,28.46
2004-02-13,2004-7,28.81
2004-02-20,2004-8,28.64
2004-02-27,2004-9,28.01
2004-03-05,2004-10,27.55
2004-03-12,2004-11,29.56
2004-03-19,2004-12,26.98
2004-03-26,2004-13,26.08
2004-04-02,2004-14,25.55
2004-04-09,2004-15,26.43
2004-04-16,2004-16,25.52
2004-04-23,2004-17,25.4
2004-04-30,2004-18,24.62
2004-05-07,2004-19,25.28
2004-05-14,2004-20,25.31
2004-05-21,2004-21,27.3
2004-05-28,2004-22,29.01
2004-06-04,2004-23,29.72
2004-06-11,2004-24,31.13
2004-06-18,2004-25,31.6
2004-06-25,2004-26,31.64
2004-07-02,2004-27,31.15
2004-07-09,2004-28,31.43
2004-07-16,2004-29,31.08
2004-07-23,2004-30,31.11
2004-07-30,2004-31,30.54
2004-08-06,2004-32,30.69
2004-08-13,2004-33,30.35
2004-08-20,2004-34,31.02
2004-08-27,2004-35,30.85
2004-09-03,2004-36,30.67
2004-09-10,2004-37,31.06
2004-09-17,2004-38,30.66
2004-09-24,2004-39,30.32
2004-10-01,2004-40,30.33
2004-10-08,2004-41,30.39
2004-10-15,2004-42,30.01
2004-10-22,2004-43,29.26
2004-10-29,2004-44,29.01
2004-11-05,2004-45,28.12
2004-11-12,2004-46,28.17
2004-11-19,2004-47,28.43
2004-11-26,2004-48,28.65
2004-12-03,2004-49,28.28
2004-12-10,2004-50,28.07
2004-12-17,2004-51,28.15
2004-12-24,2004-52,28.01
2004-12-31,2004-53,27.27
2005-01-07,2005-1,26.13
2005-01-14,2005-2,27.05
2005-01-21,2005-3,26.37
2005-01-28,2005-4,25.99
2005-02-04,2005-5,25.12
2005-02-11,2005-6,24.68
2005-02-18,2005-7,24.4
2005-02-25,2005-8,24.17
2005-03-04,2005-9,23.3
2005-03-11,2005-10,23.15
2005-03-18,2005-11,22.11
2005-03-25,2005-12,22.18
2005-04-01,2005-13,21.61
2005-04-08,2005-14,21.55
2005-04-15,2005-15,21.12
2005-04-22,2005-16,21.37
2005-04-29,2005-17,21.06
2005-05-06,2005-18,21.1
2005-05-13,2005-19,20.89
2005-05-20,2005-20,20.96
2005-05-27,2005-21,21.13
2005-06-03,2005-22,20.93
2005-06-10,2005-23,21.36
2005-06-17,2005-24,20.68
2005-06-24,2005-25,20.54
2005-07-01,2005-26,20.18
2005-07-08,2005-27,19.77
2005-07-15,2005-28,20.22
2005-07-22,2005-29,20.37
2005-07-29,2005-30,19.66
2005-08-05,2005-31,19.29
2005-08-12,2005-32,19.37
2005-08-19,2005-33,20.27
2005-08-26,2005-34,20.01
2005-09-02,2005-35,19.8
2005-09-09,2005-36,19.97
2005-09-16,2005-37,19.99
2005-09-23,2005-38,19.74
2005-09-30,2005-39,19.36
2005-10-07,2005-40,18.91
2005-10-14,2005-41,18.8
2005-10-21,2005-42,19.23
2005-10-28,2005-43,18.72
2005-11-04,2005-44,18.13
2005-11-11,2005-45,18.65
2005-11-18,2005-46,18.48
2005-11-25,2005-47,18.15
2005-12-02,2005-48,18.38
2005-12-09,2005-49,18.18
2005-12-16,2005-50,18.05
2005-12-23,2005-51,17.65
2005-12-30,2005-52,17.13
2006-01-06,2006-1,17.44
2006-01-13,2006-2,
2006-01-20,2006-3,17.85
2006-01-27,2006-4,17.54
2006-02-03,2006-5,17.36
2006-02-10,2006-6,17.38
2006-02-17,2006-7,17.43
2006-02-24,2006-8,17.02
2006-03-03,2006-9,17.19
2006-03-10,2006-10,17.18
2006-03-17,2006-11,17.18
2006-03-24,2006-12,16.88
2006-03-31,2006-13,16.61
2006-04-07,2006-14,16.38
2006-04-14,2006-15,16.24
2006-04-21,2006-16,16.37
2006-04-28,2006-17,15.84
2006-05-05,2006-18,16.54
2006-05-12,2006-19,16.08
2006-05-19,2006-20,15.98
2006-05-26,2006-21,16.6
2006-06-02,2006-22,17.4
2006-06-09,2006-23,18.56
2006-06-16,2006-24,19.41
2006-06-23,2006-25,20.35
2006-06-30,2006-26,22.63
2006-07-07,2006-27,24.89
2006-07-14,2006-28,25.52
2006-07-21,2006-29,25.43
2006-07-28,2006-30,25.29
2006-08-04,2006-31,25.24
2006-08-11,2006-32,25.76
