Tarih,TP_KB_DVDY06
2014-03-01,1680908.0
2014-04-01,1616829.0
2014-05-01,1391115.0
2014-06-01,3217281.0
2014-07-01,1962724.0
2014-08-01,2033570.0
2014-09-01,2222991.0
2014-10-01,2395660.0
2014-11-01,3131810.0
2014-12-01,2281224.0
2015-01-01,1690139.0
2015-02-01,1847611.0
2015-03-01,1710613.0
2015-04-01,2361943.0
2015-05-01,2429780.0
2015-06-01,3421069.0
2015-07-01,2411381.0
2015-08-01,2770631.0
2015-09-01,2525260.0
2015-10-01,3241023.0
2015-11-01,3534639.0
2015-12-01,2674544.0
2016-01-01,1267694.0
2016-02-01,2496199.0
2016-03-01,2582324.0
2016-04-01,1890203.0
2016-05-01,2202482.0
2016-06-01,1735274.0
2016-07-01,1286695.0
2016-08-01,1640264.0
2016-09-01,2697274.0
2016-10-01,1881631.0
2016-11-01,1324082.0
2016-12-01,2232915.0
2017-01-01,2082334.0
2017-02-01,1553768.0
2017-03-01,1302587.0
2017-04-01,1569553.0
2017-05-01,1164284.0
2017-06-01,1788464.0
2017-07-01,1591825.0
2017-08-01,1835176.0
2017-09-01,1567403.0
2017-10-01,1058254.0
2017-11-01,1310305.0
2017-12-01,2017646.0
2018-01-01,1591329.0
2018-02-01,1999972.0
2018-03-01,2111548.0
2018-04-01,2813045.0
2018-05-01,3012253.0
2018-06-01,3699939.0
2018-07-01,4232260.0
2018-08-01,7879005.0
2018-09-01,8550959.0
2018-10-01,9011639.0
2018-11-01,8641425.0
2018-12-01,7991820.0
2019-01-01,9861245.0
2019-02-01,8181374.0
2019-03-01,10394687.0
2019-04-01,9582153.0
2019-05-01,10209204.0
2019-06-01,8700773.0
2019-07-01,11476904.0
2019-08-01,13143482.0
2019-09-01,19258957.0
2019-10-01,15385655.0
2019-11-01,15490790.0
2019-12-01,16954198.0
2020-01-01,15915211.0
2020-02-01,15657985.0
2020-03-01,16771173.0
2020-04-01,18961099.0
2020-05-01,16031921.0
2020-06-01,14699776.0
2020-07-01,19231466.0
2020-08-01,19705938.0
2020-09-01,12934576.0
2020-10-01,16221818.0
2020-11-01,17142005.0
2020-12-01,19858162.0
2021-01-01,17556113.0
2021-02-01,16154087.0
2021-03-01,17127419.0
2021-04-01,21098875.0
2021-05-01,23762894.0
2021-06-01,23706307.0
2021-07-01,26100644.0
2021-08-01,26096992.0
2021-09-01,23843309.0
2021-10-01,21879962.0
2021-11-01,27296986.0
2021-12-01,38777967.0
2022-01-01,30723871.0
2022-02-01,36118869.0
2022-03-01,34206218.0
2022-04-01,42089342.0
2022-05-01,44010418.0
2022-06-01,51827138.0
2022-07-01,64931832.0
2022-08-01,60655806.0
2022-09-01,72567952.0
2022-10-01,66535684.0
2022-11-01,54793947.0
2022-12-01,49843414.0
2023-01-01,45947246.0
2023-02-01,44705323.0
2023-03-01,42404610.0
2023-04-01,41504135.0
2023-05-01,46706100.0
2023-06-01,57006624.0
2023-07-01,80409769.0
2023-08-01,84560880.0
2023-09-01,59674622.0
2023-10-01,88357584.0
2023-11-01,71866861.0
2023-12-01,75565645.0
2024-01-01,96326700.0
2024-02-01,109006938.0
2024-03-01,118445341.0
2024-04-01,105014147.0
2024-05-01,83292180.0
2024-06-01,113835124.0
2024-07-01,109790350.0
2024-08-01,117829935.0
2024-09-01,132262447.0
2024-10-01,125647694.0
2024-11-01,105389346.0
2024-12-01,101254968.0
2025-01-01,99994046.0
2025-02-01,112861964.0
2025-03-01,142283137.0
2025-04-01,146378254.0
2025-05-01,148057152.0
2025-06-01,133780645.0
2025-07-01,125903820.0
2025-08-01,130477610.0
