Tarih,TP_KB_DVDY07
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,36556.0
2006-01-01,53983.0
2006-02-01,47880.0
2006-03-01,37481.0
2006-04-01,42385.0
2006-05-01,51811.0
2006-06-01,32875.0
2006-07-01,51058.0
2006-08-01,45057.0
2006-09-01,58391.0
2006-10-01,50275.0
2006-11-01,83243.0
2006-12-01,73083.0
2007-01-01,78161.0
2007-02-01,43150.0
2007-03-01,299500.0
2007-04-01,307300.0
2007-05-01,593391.0
2007-06-01,1506106.0
2007-07-01,1798103.0
2007-08-01,1316883.0
2007-09-01,1317120.0
2007-10-01,1771965.0
2007-11-01,1366715.0
2007-12-01,918507.0
2008-01-01,1501170.0
2008-02-01,1055761.0
2008-03-01,716214.0
2008-04-01,964175.0
2008-05-01,1124356.0
2008-06-01,700434.0
2008-07-01,1027414.0
2008-08-01,300130.0
2008-09-01,614209.0
2008-10-01,673249.0
2008-11-01,1210232.0
2008-12-01,1167268.0
2009-01-01,1707412.0
2009-02-01,1584302.0
2009-03-01,1196333.0
2009-04-01,1569884.0
2009-05-01,1592461.0
2009-06-01,1264525.0
2009-07-01,1651498.0
2009-08-01,1663374.0
2009-09-01,1738945.0
2009-10-01,2020753.0
2009-11-01,1920434.0
2009-12-01,1881580.0
2010-01-01,1999979.0
2010-02-01,1403694.0
2010-03-01,1335455.0
2010-04-01,1333888.0
2010-05-01,1483469.0
2010-06-01,1281016.0
2010-07-01,1751030.0
2010-08-01,1786546.0
2010-09-01,2019493.0
2010-10-01,1510211.0
2010-11-01,1046406.0
2010-12-01,972982.0
2011-01-01,998282.0
2011-02-01,784143.0
2011-03-01,1010523.0
2011-04-01,1197961.0
2011-05-01,1067408.0
2011-06-01,1245052.0
2011-07-01,1163841.0
2011-08-01,1303022.0
2011-09-01,1428191.0
2011-10-01,1543041.0
2011-11-01,1190023.0
2011-12-01,1328607.0
2012-01-01,1358962.0
2012-02-01,1072869.0
2012-03-01,1395240.0
2012-04-01,1512226.0
2012-05-01,1902529.0
2012-06-01,1876985.0
2012-07-01,1406884.0
2012-08-01,2246774.0
2012-09-01,1925325.0
2012-10-01,1612594.0
2012-11-01,1587986.0
2012-12-01,1480674.0
2013-01-01,2152962.0
2013-02-01,1515576.0
2013-03-01,1691897.0
2013-04-01,1408608.0
2013-05-01,1373561.0
2013-06-01,1508803.0
2013-07-01,1552842.0
2013-08-01,1539599.0
2013-09-01,1511980.0
2013-10-01,1329598.0
2013-11-01,1343365.0
